Wavelength (nm)	D06 abs N
220.00	0.091194
220.25	0.092053
220.50	0.092791
220.75	0.090849
221.00	0.090721
221.25	0.093256
221.50	0.088908
221.75	0.087102
222.00	0.090304
222.25	0.087351
222.50	0.090288
222.75	0.088514
223.00	0.089245
223.25	0.086107
223.50	0.091258
223.75	0.085433
224.00	0.088571
224.25	0.089196
224.50	0.090344
224.75	0.091644
225.00	0.089461
225.25	0.089092
225.50	0.090889
225.75	0.094019
226.00	0.092029
226.25	0.093024
226.50	0.092558
226.75	0.097701
227.00	0.095776
227.25	0.092967
227.50	0.095631
227.75	0.096803
228.00	0.096738
228.25	0.10008
228.50	0.10142
228.75	0.10073
229.00	0.10136
229.25	0.10136
229.50	0.10035
229.75	0.10302
230.00	0.10365
230.25	0.10353
230.50	0.10491
230.75	0.10308
231.00	0.10625
231.25	0.10493
231.50	0.10704
231.75	0.10894
232.00	0.10967
232.25	0.11247
232.50	0.11082
232.75	0.11241
233.00	0.11575
233.25	0.11317
233.50	0.11371
233.75	0.11518
234.00	0.11710
234.25	0.11645
234.50	0.11953
234.75	0.11722
235.00	0.11681
235.25	0.11904
235.50	0.12005
235.75	0.11910
236.00	0.12042
236.25	0.12245
236.50	0.11942
236.75	0.12082
237.00	0.11879
237.25	0.12025
237.50	0.12074
237.75	0.12125
238.00	0.12245
238.25	0.12138
238.50	0.12142
238.75	0.12063
239.00	0.12244
239.25	0.12099
239.50	0.12032
239.75	0.12381
240.00	0.12418
240.25	0.12323
240.50	0.12512
240.75	0.12379
241.00	0.12454
241.25	0.12597
241.50	0.12522
241.75	0.12531
242.00	0.12545
242.25	0.12469
242.50	0.12329
242.75	0.12128
243.00	0.12162
243.25	0.12088
243.50	0.11944
243.75	0.12143
244.00	0.11717
244.25	0.11757
244.50	0.11438
244.75	0.11384
245.00	0.11332
245.25	0.11268
245.50	0.11041
245.75	0.10931
246.00	0.10904
246.25	0.10880
246.50	0.10711
246.75	0.10465
247.00	0.10562
247.25	0.10544
247.50	0.10365
247.75	0.10483
248.00	0.10304
248.25	0.10266
248.50	0.10364
248.75	0.10101
249.00	0.10139
249.25	0.098054
249.50	0.098070
249.75	0.097011
250.00	0.096714
250.25	0.094508
250.50	0.092823
250.75	0.091170
251.00	0.090175
251.25	0.090296
251.50	0.087367
251.75	0.086709
252.00	0.082072
252.25	0.083741
252.50	0.078918
252.75	0.078662
253.00	0.077859
253.25	0.075196
253.50	0.072572
253.75	0.071986
254.00	0.070093
254.25	0.069836
254.50	0.069026
254.75	0.068648
255.00	0.068985
255.25	0.069202
255.50	0.067758
255.75	0.066675
256.00	0.067493
256.25	0.067589
256.50	0.066667
256.75	0.065736
257.00	0.065359
257.25	0.065664
257.50	0.063554
257.75	0.062310
258.00	0.062029
258.25	0.062166
258.50	0.062021
258.75	0.059245
259.00	0.056966
259.25	0.056974
259.50	0.055875
259.75	0.053653
260.00	0.052898
260.25	0.052409
260.50	0.050235
260.75	0.047402
261.00	0.045316
261.25	0.044771
261.50	0.044723
261.75	0.044522
262.00	0.042845
262.25	0.041040
262.50	0.041208
262.75	0.041136
263.00	0.041642
263.25	0.039106
263.50	0.040871
263.75	0.039668
264.00	0.037646
264.25	0.038135
264.50	0.038641
264.75	0.038641
265.00	0.038914
265.25	0.037895
265.50	0.037148
265.75	0.037245
266.00	0.036627
266.25	0.036980
266.50	0.037325
266.75	0.036434
267.00	0.035239
267.25	0.033714
267.50	0.034806
267.75	0.034043
268.00	0.034027
268.25	0.032712
268.50	0.030794
268.75	0.030698
269.00	0.031051
269.25	0.029919
269.50	0.030962
269.75	0.030000
270.00	0.029165
270.25	0.028170
270.50	0.027103
270.75	0.028644
271.00	0.028876
271.25	0.029310
271.50	0.027737
271.75	0.028965
272.00	0.027047
272.25	0.029213
272.50	0.030264
272.75	0.028339
273.00	0.029053
273.25	0.028652
273.50	0.028026
273.75	0.028146
274.00	0.029189
274.25	0.029093
274.50	0.029189
274.75	0.030080
275.00	0.028989
275.25	0.028459
275.50	0.030826
