Wavelength (nm)	L11 abs N
200.00	0.28605
201.00	0.28779
202.00	0.28460
203.00	0.30676
204.00	0.30218
205.00	0.31849
206.00	0.35126
207.00	0.37864
208.00	0.38906
209.00	0.39505
210.00	0.40163
211.00	0.40936
212.00	0.42737
213.00	0.45880
214.00	0.55329
215.00	0.65354
216.00	0.70557
217.00	0.70668
218.00	0.68751
219.00	0.65567
220.00	0.61872
221.00	0.58173
222.00	0.54371
223.00	0.50793
224.00	0.47449
225.00	0.44516
226.00	0.41908
227.00	0.39676
228.00	0.37724
229.00	0.36016
230.00	0.34464
231.00	0.33065
232.00	0.31775
233.00	0.30509
234.00	0.29339
235.00	0.28184
236.00	0.27042
237.00	0.25940
238.00	0.24881
239.00	0.23855
240.00	0.22842
241.00	0.21867
242.00	0.20937
243.00	0.20022
244.00	0.19158
245.00	0.18326
246.00	0.17542
247.00	0.16790
248.00	0.16078
249.00	0.15441
250.00	0.14870
251.00	0.14363
252.00	0.13969
253.00	0.13652
254.00	0.13424
255.00	0.13280
256.00	0.13244
257.00	0.13259
258.00	0.13372
259.00	0.13525
260.00	0.13727
261.00	0.13965
262.00	0.14216
263.00	0.14502
264.00	0.14842
265.00	0.15210
266.00	0.15615
267.00	0.16075
268.00	0.16572
269.00	0.17093
270.00	0.17653
271.00	0.18226
272.00	0.18848
273.00	0.19473
274.00	0.20091
275.00	0.20719
276.00	0.21361
277.00	0.21989
278.00	0.22622
279.00	0.23214
280.00	0.23808
281.00	0.24382
282.00	0.24922
283.00	0.25447
284.00	0.25937
285.00	0.26470
286.00	0.26986
287.00	0.27497
288.00	0.28037
289.00	0.28543
290.00	0.29083
291.00	0.29586
292.00	0.30153
293.00	0.30654
294.00	0.31163
295.00	0.31627
296.00	0.32063
297.00	0.32393
298.00	0.32709
299.00	0.32908
300.00	0.33036
301.00	0.33051
302.00	0.32975
303.00	0.32777
304.00	0.32468
305.00	0.32049
306.00	0.31542
307.00	0.30939
308.00	0.30247
309.00	0.29470
310.00	0.28685
311.00	0.27859
312.00	0.26931
313.00	0.25994
314.00	0.25049
315.00	0.24071
316.00	0.23141
317.00	0.22171
318.00	0.21197
319.00	0.20309
320.00	0.19456
321.00	0.18618
322.00	0.17884
323.00	0.17216
