Wavelength (nm)	O-2, 67769-47-5, Lucifer Yellow CH.ems
514.50	0.78588
515.00	0.79040
515.50	0.80128
516.00	0.80746
516.50	0.81795
517.00	0.82510
517.50	0.83414
518.00	0.83891
518.50	0.84689
519.00	0.85112
519.50	0.86356
520.00	0.87253
520.50	0.87733
521.00	0.88248
521.50	0.89161
522.00	0.89462
522.50	0.90168
523.00	0.91082
523.50	0.91345
524.00	0.91957
524.50	0.92578
525.00	0.92762
525.50	0.93527
526.00	0.94043
526.50	0.94791
527.00	0.94949
527.50	0.95744
528.00	0.96045
528.50	0.96206
529.00	0.96398
529.50	0.96570
530.00	0.96889
530.50	0.97071
531.00	0.97683
531.50	0.97767
532.00	0.98276
532.50	0.98795
533.00	0.98255
533.50	0.98710
534.00	0.99278
534.50	0.99130
535.00	0.99278
535.50	0.99168
536.00	0.99488
536.50	0.99644
537.00	0.99730
537.50	0.99478
538.00	0.99871
538.50	1.0000
539.00	0.99456
539.50	0.99907
540.00	0.99774
540.50	0.99608
541.00	0.99662
541.50	0.99446
542.00	0.99889
542.50	0.99291
543.00	0.99326
543.50	0.99196
544.00	0.99364
544.50	0.98596
545.00	0.98641
545.50	0.98667
546.00	0.98303
546.50	0.98162
547.00	0.98056
547.50	0.97747
548.00	0.97840
548.50	0.97618
549.00	0.97920
549.50	0.96820
550.00	0.96930
550.50	0.96186
551.00	0.96003
551.50	0.95947
552.00	0.95632
552.50	0.95422
553.00	0.95012
553.50	0.94721
554.00	0.94465
554.50	0.94338
555.00	0.93517
555.50	0.93251
556.00	0.92991
556.50	0.92815
557.00	0.92352
557.50	0.91850
558.00	0.91846
558.50	0.91495
559.00	0.91169
559.50	0.90396
560.00	0.90165
560.50	0.89890
561.00	0.89422
561.50	0.88719
562.00	0.88782
562.50	0.88255
563.00	0.87640
563.50	0.86864
564.00	0.86630
564.50	0.86124
565.00	0.85803
565.50	0.85552
566.00	0.84967
566.50	0.84538
567.00	0.84468
567.50	0.83490
568.00	0.83428
568.50	0.82378
569.00	0.82063
569.50	0.81474
570.00	0.81394
570.50	0.80351
571.00	0.80576
571.50	0.79299
572.00	0.79467
572.50	0.78580
573.00	0.78501
573.50	0.77681
574.00	0.77641
574.50	0.76685
575.00	0.76479
575.50	0.75585
576.00	0.75298
576.50	0.74602
577.00	0.74168
577.50	0.73569
578.00	0.73198
578.50	0.72719
