Wavelength (nm)	O03 abs N
308.25	0.80576
308.50	0.80694
308.75	0.81170
309.00	0.81763
309.25	0.82002
309.50	0.82818
309.75	0.81837
310.00	0.80787
310.25	0.83205
310.50	0.83150
310.75	0.83832
311.00	0.83356
311.25	0.84793
311.50	0.84468
311.75	0.84258
312.00	0.86152
312.25	0.85267
312.50	0.86835
312.75	0.86126
313.00	0.87894
313.25	0.88082
313.50	0.88187
313.75	0.89066
314.00	0.88464
314.25	0.89677
314.50	0.90566
314.75	0.89002
315.00	0.90299
315.25	0.90465
315.50	0.91604
315.75	0.92590
316.00	0.92431
316.25	0.92290
316.50	0.91837
316.75	0.94092
317.00	0.94017
317.25	0.92898
317.50	0.93557
317.75	0.94712
318.00	0.94694
318.25	0.95809
318.50	0.95504
318.75	0.95114
319.00	0.96114
319.25	0.96730
319.50	0.97033
319.75	0.96391
320.00	0.97070
320.25	0.98380
320.50	0.97776
320.75	0.96737
321.00	0.97567
321.25	0.98599
321.50	0.98121
321.75	0.97952
322.00	0.98970
322.25	0.98338
322.50	0.99291
322.75	0.98723
323.00	0.98308
323.25	0.99523
323.50	0.99347
323.75	0.99519
324.00	0.98972
324.25	0.98798
324.50	0.99313
324.75	0.99834
325.00	1.0000
325.25	0.99867
325.50	0.98535
325.75	0.99206
326.00	0.98463
326.25	0.99151
326.50	0.99473
326.75	0.99253
327.00	0.98000
327.25	0.98327
327.50	0.98517
327.75	0.97978
328.00	0.98383
328.25	0.98252
328.50	0.98239
328.75	0.97403
329.00	0.97169
329.25	0.96999
329.50	0.97380
329.75	0.96112
330.00	0.96950
330.25	0.95686
330.50	0.95867
330.75	0.95707
331.00	0.95645
331.25	0.95176
331.50	0.94972
331.75	0.94680
332.00	0.94667
332.25	0.94425
332.50	0.93217
332.75	0.92459
333.00	0.93259
333.25	0.92719
333.50	0.92231
333.75	0.91401
334.00	0.92062
334.25	0.91516
334.50	0.90582
334.75	0.90664
335.00	0.89443
335.25	0.90905
335.50	0.89253
335.75	0.88400
336.00	0.88338
336.25	0.88830
336.50	0.88228
336.75	0.87546
337.00	0.87281
337.25	0.85905
337.50	0.85620
337.75	0.85271
338.00	0.84381
338.25	0.84477
338.50	0.84644
338.75	0.84050
339.00	0.83197
339.25	0.82569
339.50	0.82340
339.75	0.81768
340.00	0.80173
340.25	0.79666
340.50	0.79069
340.75	0.78137
341.00	0.78371
341.25	0.77009
341.50	0.76630
341.75	0.75974
342.00	0.75516
342.25	0.74226
342.50	0.73563
342.75	0.72428
343.00	0.71462
343.25	0.71894
343.50	0.70620
343.75	0.69339
344.00	0.68920
344.25	0.68414
344.50	0.67697
344.75	0.66194
345.00	0.65776
345.25	0.64953
345.50	0.64065
345.75	0.63528
346.00	0.62648
346.25	0.61688
346.50	0.61165
346.75	0.60818
347.00	0.59742
347.25	0.58571
347.50	0.58111
347.75	0.57118
348.00	0.56672
348.25	0.55951
348.50	0.55531
348.75	0.53843
349.00	0.53268
349.25	0.53177
349.50	0.52469
349.75	0.51810
350.00	0.50974
350.25	0.50666
350.50	0.49752
350.75	0.48744
351.00	0.48539
351.25	0.47564
351.50	0.46740
351.75	0.46195
