Wavelength (nm)	K10 ems
685.50	0.053788
686.00	0.053543
686.50	0.052970
687.00	0.052524
687.50	0.051558
688.00	0.047683
688.50	0.048590
689.00	0.048750
689.50	0.046817
690.00	0.046817
690.50	0.045486
691.00	0.047622
691.50	0.045638
692.00	0.043232
692.50	0.043112
693.00	0.043385
693.50	0.038908
694.00	0.038950
694.50	0.037825
695.00	0.038007
695.50	0.041340
696.00	0.041409
696.50	0.039449
697.00	0.039342
697.50	0.036388
698.00	0.035299
698.50	0.037287
699.00	0.036722
699.50	0.034525
700.00	0.034798
700.50	0.034061
701.00	0.033310
701.50	0.034822
702.00	0.034898
702.50	0.034014
703.00	0.032435
703.50	0.031687
704.00	0.031443
704.50	0.032292
705.00	0.031518
705.50	0.032027
706.00	0.027108
706.50	0.029430
707.00	0.027114
707.50	0.028981
708.00	0.027839
708.50	0.022651
709.00	0.029741
709.50	0.025852
710.00	0.028570
710.50	0.024504
711.00	0.026056
711.50	0.024960
712.00	0.026213
712.50	0.029989
713.00	0.027918
713.50	0.027122
714.00	0.026117
714.50	0.025426
715.00	0.025655
715.50	0.024614
716.00	0.022547
716.50	0.024042
717.00	0.022011
717.50	0.025779
718.00	0.022213
718.50	0.022903
719.00	0.024856
719.50	0.023741
720.00	0.023530
720.50	0.020705
721.00	0.017195
721.50	0.020773
722.00	0.022002
722.50	0.020323
723.00	0.018399
723.50	0.021335
724.00	0.020581
724.50	0.019065
725.00	0.017603
725.50	0.021836
726.00	0.018007
726.50	0.018982
727.00	0.016707
727.50	0.018856
728.00	0.020009
728.50	0.017291
729.00	0.015014
729.50	0.014071
730.00	0.014893
730.50	0.016137
731.00	0.022073
731.50	0.016527
732.00	0.016391
732.50	0.017004
733.00	0.020069
733.50	0.021647
734.00	0.020424
734.50	0.017378
735.00	0.015588
735.50	0.016296
736.00	0.013331
736.50	0.017736
737.00	0.010835
737.50	0.012598
738.00	0.010340
738.50	0.011216
739.00	0.015739
739.50	0.012998
740.00	0.011696
740.50	0.0079715
741.00	0.014075
741.50	0.0086312
742.00	0.012360
742.50	0.013004
743.00	0.0090738
743.50	0.014886
744.00	0.014878
744.50	0.014868
745.00	0.010656
745.50	0.0099332
746.00	0.0083113
746.50	0.0070675
747.00	0.012807
747.50	0.010166
748.00	0.015786
748.50	0.0088584
749.00	0.0070675
749.50	0.016467
750.00	0.0094224
750.50	0.020393
751.00	0.0070157
751.50	0.012730
752.00	0.011424
752.50	0.011166
753.00	0.010798
753.50	0.0098889
754.00	0.0099408
754.50	0.010969
755.00	0.010590
755.50	0.0073574
756.00	0.0086093
756.50	0.0061063
757.00	0.0075869
757.50	0.0047150
758.00	0.0099185
758.50	0.0068015
759.00	0.0089982
759.50	0.0069864
760.00	0.0055282
760.50	0.0019758
761.00	0.0077945
761.50	0.0067848
762.00	0.0037683
762.50	0.0031980
763.00	0.0036892
763.50	0.0050200
764.00	0.0045665
764.50	0.012059
765.00	0.0053399
765.50	0.0021792
766.00	0.0074788
766.50	0.0065345
767.00	0.0053323
767.50	0.0087188
768.00	0.0063893
768.50	0.0037834
769.00	0.0040559
769.50	0.0015114
770.00	0.0051195
770.50	0.0048912
771.00	0.0082746
771.50	0.0021936
772.00	0.0014226
772.50	0.0025063
773.00	0.0074014
773.50	0.0070433
774.00	0.0018803
774.50	0.0017985
775.00	0.0051349
775.50	0.00055555
776.00	0.0045090
776.50	0.00042453
777.00	0.00044179
777.50	0.0069336
778.00	0.0054396
778.50	0.0036499
779.00	0.0015603
779.50	0.010046
780.00	0.0072571
780.50	0.0052939
781.00	0.0043153
781.50	0.0034714
782.00	0.0040665
782.50	0.0037947
783.00	0.0028144
783.50	0.0086723
784.00	0.00045699
784.50	0.0047537
785.00	0.00031240
785.50	0.0056920
786.00	0.00099062
786.50	0.00058758
787.00	0.00028746
787.50	0.0035095
788.00	0.0035241
788.50	0.015334
789.00	0.0052454
789.50	0.0050816
790.00	0.0076149
790.50	0.00063881
791.00	0.0065898
791.50	0.0032949
792.00	0.0045968
792.50	0.0028722
793.00	0.0081455
793.50	0.0030583
794.00	0.0018137
794.50	0.0056708
795.00	0.00050307
795.50	0.0018157
796.00	0.0077221
796.50	0.0011700
797.00	0.0058133
797.50	0.010503
798.00	0.0020242
798.50	0.0026732
799.00	0.00069274
799.50	0.0027337
800.00	0.00052896
