Wavelength (nm)	A19 abs2 N
200.00	1.0188
201.00	0.92368
202.00	0.88527
203.00	0.85699
204.00	0.85530
205.00	0.87507
206.00	0.88495
207.00	0.90381
208.00	0.91898
209.00	0.94904
210.00	0.97490
211.00	0.99104
212.00	0.98027
213.00	0.95163
214.00	0.94997
215.00	0.99015
216.00	1.0000
217.00	0.92885
218.00	0.83560
219.00	0.80334
220.00	0.79142
221.00	0.66949
222.00	0.46176
223.00	0.28668
224.00	0.17015
225.00	0.10232
226.00	0.063357
227.00	0.041198
228.00	0.028351
229.00	0.020781
230.00	0.016457
231.00	0.013801
232.00	0.012399
233.00	0.011725
234.00	0.011336
235.00	0.010830
236.00	0.010826
237.00	0.010998
238.00	0.011560
239.00	0.012147
240.00	0.012264
241.00	0.012185
242.00	0.012498
243.00	0.013261
244.00	0.015024
245.00	0.016583
246.00	0.016602
247.00	0.016374
248.00	0.017523
249.00	0.018848
250.00	0.021182
251.00	0.023851
252.00	0.023789
253.00	0.022491
254.00	0.024254
255.00	0.026383
256.00	0.027421
257.00	0.030865
258.00	0.033245
259.00	0.029452
260.00	0.027805
261.00	0.029962
262.00	0.029989
263.00	0.030647
264.00	0.037740
265.00	0.039024
266.00	0.030138
267.00	0.024836
268.00	0.023850
269.00	0.021638
270.00	0.020609
271.00	0.027010
272.00	0.029754
273.00	0.021422
274.00	0.014477
275.00	0.010161
276.00	0.0078261
277.00	0.0063417
278.00	0.0054110
279.00	0.0050283
280.00	0.0047072
281.00	0.0043645
282.00	0.0041697
283.00	0.0041608
284.00	0.0038713
285.00	0.0039586
286.00	0.0038807
287.00	0.0039650
288.00	0.0039823
289.00	0.0041166
290.00	0.0041797
291.00	0.0043119
292.00	0.0045593
293.00	0.0043966
294.00	0.0043492
295.00	0.0042613
296.00	0.0043682
297.00	0.0043971
298.00	0.0045530
299.00	0.0044887
300.00	0.0043803
