Wavelength (nm)	C01 ems
473.00	0.0062136
473.50	0.0059029
474.00	0.0058959
474.50	0.0053737
475.00	0.0054017
475.50	0.0056402
476.00	0.0054941
476.50	0.0056733
477.00	0.0055507
477.50	0.0056882
478.00	0.0054559
478.50	0.0054721
479.00	0.0055065
479.50	0.0057302
480.00	0.0051537
480.50	0.0051895
481.00	0.0052131
481.50	0.0052921
482.00	0.0052543
482.50	0.0049752
483.00	0.0048125
483.50	0.0053442
484.00	0.0052375
484.50	0.0049558
485.00	0.0047353
485.50	0.0050012
486.00	0.0049921
486.50	0.0053412
487.00	0.0047471
487.50	0.0049393
488.00	0.0048604
488.50	0.0048381
489.00	0.0050632
489.50	0.0047487
490.00	0.0049744
490.50	0.0045700
491.00	0.0049250
491.50	0.0049609
492.00	0.0048557
492.50	0.0049495
493.00	0.0047921
493.50	0.0042139
494.00	0.0048703
494.50	0.0045364
495.00	0.0048059
495.50	0.0045101
496.00	0.0044155
496.50	0.0041109
497.00	0.0047234
497.50	0.0044576
498.00	0.0045200
498.50	0.0044835
499.00	0.0042881
499.50	0.0044565
500.00	0.0044461
