Wavelength (nm)	T05 abs N
653.00	0.13185
654.00	0.14805
655.00	0.17584
656.00	0.19743
657.00	0.19777
658.00	0.23127
659.00	0.26406
660.00	0.29233
661.00	0.32117
662.00	0.34850
663.00	0.37437
664.00	0.39702
665.00	0.41537
666.00	0.42879
667.00	0.43653
668.00	0.43756
669.00	0.43339
670.00	0.42200
671.00	0.40519
672.00	0.38319
673.00	0.35783
674.00	0.32918
675.00	0.29828
676.00	0.26726
677.00	0.23639
678.00	0.20597
679.00	0.17831
680.00	0.15267
681.00	0.12937
682.00	0.10916
683.00	0.091163
684.00	0.075804
685.00	0.063402
686.00	0.052997
687.00	0.043764
688.00	0.036607
689.00	0.030497
690.00	0.025812
691.00	0.022035
692.00	0.018965
693.00	0.016300
694.00	0.014070
695.00	0.012554
696.00	0.011259
697.00	0.010400
698.00	0.0091610
699.00	0.0080789
700.00	0.0074244
701.00	0.0067523
702.00	0.0063238
703.00	0.0060890
704.00	0.0053532
705.00	0.0050147
706.00	0.0046556
707.00	0.0045529
708.00	0.0040530
709.00	0.0038719
710.00	0.0032312
711.00	0.0031186
712.00	0.0027116
713.00	0.0027830
714.00	0.0023085
715.00	0.0020972
716.00	0.0018223
717.00	0.0015738
718.00	0.0017323
719.00	0.0015161
720.00	0.0013292
721.00	0.0010719
722.00	0.0010993
723.00	0.0010758
724.00	0.00095736
725.00	0.00084298
726.00	0.00088986
727.00	0.00063944
728.00	0.00091335
729.00	0.00052374
730.00	0.00087622
731.00	0.00090166
732.00	0.00068253
733.00	0.00067565
734.00	0.00099358
735.00	0.00059440
736.00	0.00061164
737.00	0.00053182
738.00	0.00028038
739.00	0.00052987
740.00	0.00038409
741.00	0.00018158
742.00	0.00013655
743.00	0.00028622
744.00	0.00011500
745.00	0.00038953
746.00	0.00050371
747.00	0.00023637
748.00	0.00013655
749.00	0.00016784
750.00	0.00014927
751.00	0.00010423
752.00	0.00032931
753.00	0.00065801
754.00	0.00069720
