Wavelength (nm)	N05 abs N
308.25	0.13397
308.50	0.14009
308.75	0.13813
309.00	0.13621
309.25	0.13997
309.50	0.14460
309.75	0.13761
310.00	0.13845
310.25	0.13913
310.50	0.13563
310.75	0.13715
311.00	0.14333
311.25	0.13769
311.50	0.14178
311.75	0.14424
312.00	0.13721
312.25	0.13580
312.50	0.13795
312.75	0.13857
313.00	0.13535
313.25	0.12832
313.50	0.12950
313.75	0.13338
314.00	0.13589
314.25	0.12709
314.50	0.12676
314.75	0.13029
315.00	0.13141
315.25	0.13086
315.50	0.13178
315.75	0.12119
316.00	0.12475
316.25	0.12174
316.50	0.11562
316.75	0.12024
317.00	0.11974
317.25	0.11680
317.50	0.11474
317.75	0.11698
318.00	0.10663
318.25	0.10552
318.50	0.10094
318.75	0.11475
319.00	0.10386
319.25	0.10041
319.50	0.10245
319.75	0.10334
320.00	0.10312
320.25	0.098233
320.50	0.092094
320.75	0.099450
321.00	0.097379
321.25	0.084103
321.50	0.083933
321.75	0.085378
322.00	0.095379
322.25	0.089365
322.50	0.084268
322.75	0.083288
323.00	0.078027
323.25	0.076326
323.50	0.080994
323.75	0.082125
324.00	0.079257
324.25	0.072888
324.50	0.063333
324.75	0.071175
325.00	0.067925
325.25	0.065444
325.50	0.065227
325.75	0.066353
326.00	0.072919
326.25	0.065571
326.50	0.068351
326.75	0.072947
327.00	0.062596
327.25	0.066702
327.50	0.063968
327.75	0.063375
328.00	0.056540
328.25	0.063672
328.50	0.057431
328.75	0.054300
329.00	0.059301
329.25	0.052742
329.50	0.057544
329.75	0.056150
330.00	0.057335
330.25	0.057996
330.50	0.060100
330.75	0.055093
331.00	0.058182
331.25	0.046708
331.50	0.052332
331.75	0.051487
332.00	0.045082
332.25	0.039346
332.50	0.046887
332.75	0.045154
333.00	0.051845
333.25	0.047939
333.50	0.049619
333.75	0.051012
334.00	0.047223
334.25	0.047083
334.50	0.048356
334.75	0.051436
335.00	0.049581
335.25	0.056379
335.50	0.047801
335.75	0.053744
336.00	0.051492
336.25	0.045230
336.50	0.052130
336.75	0.045209
337.00	0.044346
337.25	0.049494
337.50	0.056598
337.75	0.051650
338.00	0.055472
338.25	0.054314
338.50	0.055684
338.75	0.055867
339.00	0.050437
339.25	0.059946
339.50	0.053321
339.75	0.054130
340.00	0.059186
340.25	0.057708
340.50	0.052862
340.75	0.047299
341.00	0.060852
341.25	0.053725
341.50	0.052633
341.75	0.047260
342.00	0.059437
342.25	0.058955
342.50	0.056861
342.75	0.058366
343.00	0.054310
343.25	0.055248
343.50	0.053829
343.75	0.056880
344.00	0.055958
344.25	0.055932
344.50	0.055686
344.75	0.060070
345.00	0.057723
345.25	0.054445
345.50	0.058360
345.75	0.052038
346.00	0.057880
346.25	0.047424
346.50	0.052231
346.75	0.050203
347.00	0.049608
347.25	0.046326
347.50	0.052650
347.75	0.050514
348.00	0.043305
348.25	0.046569
348.50	0.046551
348.75	0.042354
349.00	0.039660
349.25	0.055646
349.50	0.043708
349.75	0.037241
350.00	0.039496
350.25	0.040355
350.50	0.034044
350.75	0.037454
351.00	0.036027
351.25	0.035279
351.50	0.036309
351.75	0.030935
352.00	0.034304
352.25	0.031560
352.50	0.036055
352.75	0.035519
353.00	0.031004
353.25	0.034750
353.50	0.030735
353.75	0.035781
354.00	0.029406
354.25	0.025906
354.50	0.029112
354.75	0.024469
355.00	0.027386
355.25	0.027590
355.50	0.024469
355.75	0.023863
356.00	0.023614
356.25	0.023245
356.50	0.022657
356.75	0.024822
357.00	0.018935
357.25	0.021068
357.50	0.023473
357.75	0.022165
358.00	0.024331
358.25	0.021843
358.50	0.022517
358.75	0.016459
359.00	0.019855
359.25	0.022819
359.50	0.020854
359.75	0.019639
360.00	0.019610
360.25	0.017693
360.50	0.019906
360.75	0.018839
361.00	0.016288
361.25	0.013809
361.50	0.017747
361.75	0.019371
362.00	0.015631
362.25	0.018120
362.50	0.022605
362.75	0.018214
