Wavelength (nm)	S11 abs N
609.00	0.011835
610.00	0.010955
611.00	0.010548
612.00	0.0099681
613.00	0.0097141
614.00	0.0093744
615.00	0.0090875
616.00	0.0087488
617.00	0.0087076
618.00	0.0082831
619.00	0.0081868
620.00	0.0081043
621.00	0.0077783
622.00	0.0080810
623.00	0.0079688
624.00	0.0081223
625.00	0.0083212
626.00	0.0080376
627.00	0.0079275
628.00	0.0076290
629.00	0.0077825
630.00	0.0077878
631.00	0.0080355
632.00	0.0082800
633.00	0.0083265
634.00	0.0085012
635.00	0.0085467
636.00	0.0085647
637.00	0.0081826
638.00	0.0080281
639.00	0.0078513
640.00	0.0079487
641.00	0.0082016
642.00	0.0084440
643.00	0.0082768
644.00	0.0082101
645.00	0.0083869
646.00	0.0084790
647.00	0.0084588
648.00	0.0087044
649.00	0.0086176
650.00	0.0085446
651.00	0.0086483
652.00	0.0090251
653.00	0.0089415
654.00	0.0086515
655.00	0.0087830
656.00	0.0093078
657.00	0.0091309
658.00	0.0085223
659.00	0.0096400
660.00	0.0096422
661.00	0.0097607
662.00	0.010004
663.00	0.010068
664.00	0.010239
665.00	0.010498
666.00	0.010654
667.00	0.010763
668.00	0.011125
669.00	0.011004
670.00	0.011195
671.00	0.011386
672.00	0.011457
673.00	0.011354
674.00	0.011665
675.00	0.011856
676.00	0.011799
677.00	0.011794
678.00	0.012020
679.00	0.011808
680.00	0.011876
681.00	0.011789
682.00	0.011903
683.00	0.011712
684.00	0.011832
685.00	0.011806
686.00	0.011513
687.00	0.011477
688.00	0.011282
689.00	0.011264
690.00	0.011115
691.00	0.011019
692.00	0.010706
693.00	0.010641
694.00	0.010416
695.00	0.010300
696.00	0.010220
697.00	0.010178
698.00	0.0097395
699.00	0.0095024
700.00	0.0094760
701.00	0.0092505
702.00	0.0091712
703.00	0.0088166
704.00	0.0085869
705.00	0.0084980
706.00	0.0083033
707.00	0.0082175
708.00	0.0078555
709.00	0.0076576
710.00	0.0074301
711.00	0.0072141
712.00	0.0070088
713.00	0.0069707
714.00	0.0066151
715.00	0.0063685
716.00	0.0062446
717.00	0.0060806
718.00	0.0060277
719.00	0.0057853
720.00	0.0054752
721.00	0.0053259
722.00	0.0052688
723.00	0.0050211
724.00	0.0049576
725.00	0.0046888
726.00	0.0046284
727.00	0.0043935
728.00	0.0043861
729.00	0.0042400
730.00	0.0040431
731.00	0.0038960
732.00	0.0036526
733.00	0.0035552
734.00	0.0036007
735.00	0.0033779
736.00	0.0032427
737.00	0.0032356
738.00	0.0031044
739.00	0.0031114
740.00	0.0029348
741.00	0.0027087
742.00	0.0028279
743.00	0.0028793
744.00	0.0026976
745.00	0.0026562
746.00	0.0025271
747.00	0.0025220
748.00	0.0023312
749.00	0.0022414
750.00	0.0023988
751.00	0.0021395
752.00	0.0020072
753.00	0.0021767
754.00	0.0020728
755.00	0.0018104
756.00	0.0020425
757.00	0.0020325
758.00	0.0019335
759.00	0.0016165
760.00	0.0018214
761.00	0.0017710
762.00	0.0013764
763.00	0.0016559
764.00	0.0016983
765.00	0.0018214
766.00	0.0012552
767.00	0.0013016
768.00	0.0016529
769.00	0.0017751
770.00	0.0013450
771.00	0.0015550
772.00	0.0014702
773.00	0.0014743
774.00	0.0013884
775.00	0.0013572
776.00	0.0014551
777.00	0.0015368
778.00	0.0014117
779.00	0.0014420
780.00	0.0012491
781.00	0.0014248
782.00	0.0014107
783.00	0.0011755
784.00	0.0011896
785.00	0.0012400
786.00	0.0011826
787.00	0.0012945
788.00	0.0013259
789.00	0.0011563
790.00	0.0010483
791.00	0.0010544
792.00	0.0010827
793.00	0.0011674
794.00	0.0012331
795.00	0.0011654
796.00	0.00086261
797.00	0.00085044
798.00	0.0011260
799.00	0.0010493
800.00	0.00094125
