Wavelength (nm)	N11 abs N
308.25	0.14349
308.50	0.14465
308.75	0.14105
309.00	0.14049
309.25	0.13948
309.50	0.13683
309.75	0.13522
310.00	0.13320
310.25	0.12932
310.50	0.12394
310.75	0.12248
311.00	0.12739
311.25	0.12111
311.50	0.11449
311.75	0.11286
312.00	0.10955
312.25	0.10499
312.50	0.11136
312.75	0.10742
313.00	0.099562
313.25	0.098187
313.50	0.10030
313.75	0.095219
314.00	0.092260
314.25	0.089933
314.50	0.084283
314.75	0.078609
315.00	0.076164
315.25	0.079342
315.50	0.076391
315.75	0.076189
316.00	0.071029
316.25	0.067673
316.50	0.068044
316.75	0.064148
317.00	0.064545
317.25	0.064899
317.50	0.065565
317.75	0.055388
318.00	0.061560
318.25	0.054401
318.50	0.049376
318.75	0.053550
319.00	0.054460
319.25	0.052218
319.50	0.052462
319.75	0.049831
320.00	0.053870
320.25	0.041897
320.50	0.046914
320.75	0.046644
321.00	0.046332
321.25	0.041669
321.50	0.044241
321.75	0.042260
322.00	0.043322
322.25	0.040826
322.50	0.038347
322.75	0.035683
323.00	0.038263
323.25	0.043744
323.50	0.039789
323.75	0.037403
324.00	0.034022
324.25	0.034705
324.50	0.033347
324.75	0.036771
325.00	0.035185
325.25	0.040455
325.50	0.031653
325.75	0.033128
326.00	0.031880
326.25	0.029874
326.50	0.031332
326.75	0.034486
327.00	0.032639
327.25	0.030337
327.50	0.035607
327.75	0.027875
328.00	0.031914
328.25	0.030742
328.50	0.027858
328.75	0.031509
329.00	0.027757
329.25	0.026602
329.50	0.030034
329.75	0.024553
330.00	0.033642
330.25	0.029831
330.50	0.029410
330.75	0.031105
331.00	0.029570
331.25	0.029545
331.50	0.024562
331.75	0.032749
332.00	0.032386
332.25	0.036847
332.50	0.032690
332.75	0.030826
333.00	0.031762
333.25	0.033744
333.50	0.031298
333.75	0.041012
334.00	0.034899
334.25	0.036467
334.50	0.036518
334.75	0.035599
335.00	0.037808
335.25	0.035126
335.50	0.036619
335.75	0.036442
336.00	0.039848
336.25	0.036408
336.50	0.039452
336.75	0.039047
337.00	0.044022
337.25	0.044191
337.50	0.044477
337.75	0.046062
338.00	0.047766
338.25	0.044224
338.50	0.047411
338.75	0.049570
339.00	0.043887
339.25	0.045911
339.50	0.048406
339.75	0.046872
340.00	0.051459
340.25	0.053583
340.50	0.048423
340.75	0.052057
341.00	0.055590
341.25	0.053086
341.50	0.052799
341.75	0.053297
342.00	0.053794
342.25	0.053904
342.50	0.051560
342.75	0.054958
343.00	0.057327
343.25	0.058246
343.50	0.059334
343.75	0.056476
344.00	0.062454
344.25	0.061965
344.50	0.054958
344.75	0.060388
345.00	0.065438
345.25	0.057133
345.50	0.060700
345.75	0.061737
346.00	0.062277
346.25	0.065354
346.50	0.063718
346.75	0.063828
347.00	0.063836
347.25	0.065354
347.50	0.069300
347.75	0.067985
348.00	0.068347
348.25	0.073196
348.50	0.072099
348.75	0.072749
349.00	0.072614
349.25	0.074342
349.50	0.081577
349.75	0.073440
350.00	0.079013
350.25	0.077268
350.50	0.075253
350.75	0.076931
351.00	0.081771
351.25	0.081931
351.50	0.086830
351.75	0.081307
352.00	0.084275
352.25	0.086484
352.50	0.084823
352.75	0.087074
353.00	0.090143
353.25	0.088263
353.50	0.087445
353.75	0.088845
354.00	0.087091
354.25	0.090666
354.50	0.089663
354.75	0.090025
355.00	0.093288
355.25	0.093331
355.50	0.093373
355.75	0.087723
356.00	0.090987
356.25	0.095337
356.50	0.090641
356.75	0.091880
357.00	0.091762
357.25	0.095051
357.50	0.088187
357.75	0.090093
358.00	0.088078
358.25	0.087850
358.50	0.087858
358.75	0.088862
359.00	0.087445
359.25	0.087740
359.50	0.082040
359.75	0.088550
360.00	0.086374
360.25	0.085219
360.50	0.083297
360.75	0.081324
361.00	0.083364
361.25	0.076341
361.50	0.080211
361.75	0.080455
362.00	0.078508
362.25	0.075506
362.50	0.078069
362.75	0.076459
363.00	0.073550
363.25	0.070042
363.50	0.073879
363.75	0.069098
364.00	0.072319
364.25	0.067681
364.50	0.066535
364.75	0.065034
365.00	0.061180
365.25	0.064823
365.50	0.065666
365.75	0.064233
366.00	0.059334
366.25	0.056813
366.50	0.056804
366.75	0.055885
367.00	0.057007
367.25	0.052589
367.50	0.053870
367.75	0.054064
368.00	0.052673
368.25	0.050329
368.50	0.052960
368.75	0.050455
369.00	0.048491
369.25	0.047648
369.50	0.048777
369.75	0.047066
370.00	0.044865
370.25	0.050118
370.50	0.044747
370.75	0.040843
371.00	0.041990
371.25	0.041788
371.50	0.043946
371.75	0.038912
372.00	0.038002
372.25	0.038988
372.50	0.035927
372.75	0.037116
373.00	0.035278
373.25	0.041020
373.50	0.037656
373.75	0.036678
374.00	0.036695
374.25	0.034056
374.50	0.031914
374.75	0.034174
375.00	0.033137
375.25	0.033263
375.50	0.033583
375.75	0.032867
376.00	0.033533
376.25	0.032799
376.50	0.033609
376.75	0.031501
377.00	0.031442
377.25	0.031079
377.50	0.032926
377.75	0.030894
378.00	0.032791
378.25	0.027378
378.50	0.032099
378.75	0.031206
379.00	0.030135
379.25	0.029334
379.50	0.030523
379.75	0.028971
380.00	0.028145
380.25	0.029359
380.50	0.030540
380.75	0.029899
381.00	0.032555
381.25	0.028280
381.50	0.030573
381.75	0.027698
382.00	0.028347
382.25	0.027032
382.50	0.029022
382.75	0.029047
383.00	0.027133
383.25	0.029064
383.50	0.032420
383.75	0.027513
384.00	0.031121
384.25	0.031341
384.50	0.029578
384.75	0.032580
385.00	0.030388
385.25	0.030708
385.50	0.032690
385.75	0.028702
386.00	0.029823
386.25	0.033179
386.50	0.032319
386.75	0.032833
387.00	0.034199
387.25	0.030110
387.50	0.030742
387.75	0.033769
388.00	0.032496
388.25	0.032091
388.50	0.032732
388.75	0.031332
389.00	0.031796
389.25	0.031990
389.50	0.033423
389.75	0.032934
390.00	0.033558
390.25	0.032243
390.50	0.030278
390.75	0.034882
391.00	0.034882
391.25	0.033659
391.50	0.030708
391.75	0.031155
392.00	0.032184
392.25	0.032445
392.50	0.031627
392.75	0.032184
393.00	0.032344
393.25	0.032243
393.50	0.034224
393.75	0.031804
394.00	0.033212
394.25	0.033187
394.50	0.033550
394.75	0.034924
395.00	0.030809
395.25	0.033491
395.50	0.033196
395.75	0.033482
396.00	0.034528
396.25	0.031669
396.50	0.035025
396.75	0.031745
397.00	0.034224
397.25	0.033153
397.50	0.032614
397.75	0.033373
398.00	0.032976
398.25	0.031965
398.50	0.032774
398.75	0.033196
399.00	0.034511
399.25	0.030658
399.50	0.031433
399.75	0.034401
400.00	0.033347
400.25	0.034410
400.50	0.029815
400.75	0.033702
401.00	0.030287
401.25	0.033052
401.50	0.030363
401.75	0.030211
402.00	0.031113
402.25	0.031779
402.50	0.030742
402.75	0.031079
403.00	0.032808
403.25	0.032664
403.50	0.030329
403.75	0.028398
404.00	0.030346
404.25	0.032108
404.50	0.031088
404.75	0.029966
405.00	0.031003
405.25	0.029612
405.50	0.030860
405.75	0.030413
406.00	0.031012
406.25	0.031627
406.50	0.030042
406.75	0.028533
407.00	0.029199
407.25	0.029680
407.50	0.031239
407.75	0.029882
408.00	0.028904
408.25	0.029342
408.50	0.030143
408.75	0.029654
409.00	0.028541
409.25	0.029325
409.50	0.028777
409.75	0.028575
410.00	0.031636
410.25	0.030245
410.50	0.028583
410.75	0.031476
411.00	0.029123
411.25	0.029705
411.50	0.029637
411.75	0.028491
412.00	0.028904
412.25	0.030295
412.50	0.030051
412.75	0.028558
413.00	0.028626
413.25	0.029384
413.50	0.027057
413.75	0.028567
414.00	0.028373
414.25	0.030245
414.50	0.027960
414.75	0.027943
415.00	0.028491
415.25	0.029039
415.50	0.029005
415.75	0.027462
416.00	0.027285
416.25	0.027664
416.50	0.026636
416.75	0.027884
417.00	0.027597
417.25	0.025236
417.50	0.027673
417.75	0.026088
418.00	0.025540
418.25	0.026956
418.50	0.024376
418.75	0.026282
419.00	0.025860
419.25	0.024115
419.50	0.024983
419.75	0.024115
420.00	0.023803
420.25	0.024587
420.50	0.023710
420.75	0.023052
421.00	0.023356
421.25	0.022892
421.50	0.022243
421.75	0.023027
422.00	0.022428
422.25	0.022369
422.50	0.021332
422.75	0.021383
423.00	0.021585
423.25	0.021863
423.50	0.021029
423.75	0.021324
424.00	0.021206
424.25	0.021037
424.50	0.021425
424.75	0.018229
425.00	0.020481
425.25	0.019764
425.50	0.018609
425.75	0.017513
426.00	0.017150
426.25	0.017766
426.50	0.019123
426.75	0.018904
427.00	0.016914
427.25	0.016138
427.50	0.016164
427.75	0.016939
428.00	0.016948
