Wavelength (nm)	E19 ems
440.00	0.039689
441.00	0.071075
442.00	0.10186
443.00	0.15042
444.00	0.19174
445.00	0.25980
446.00	0.28033
447.00	0.33656
448.00	0.36666
449.00	0.43076
450.00	0.48982
451.00	0.52090
452.00	0.55950
453.00	0.58687
454.00	0.61242
455.00	0.63509
456.00	0.66858
457.00	0.70611
458.00	0.70954
459.00	0.73442
460.00	0.73384
461.00	0.74507
462.00	0.78017
463.00	0.77503
464.00	0.79188
465.00	0.79467
466.00	0.84191
467.00	0.85358
468.00	0.88445
469.00	0.84970
470.00	0.85901
471.00	0.88654
472.00	0.88820
473.00	0.91535
474.00	0.92324
475.00	0.91026
476.00	0.93201
477.00	0.93279
478.00	0.97900
479.00	0.93354
480.00	0.95930
481.00	0.93295
482.00	0.96054
483.00	0.96908
484.00	1.0000
485.00	0.99181
486.00	0.97622
487.00	0.95736
488.00	0.97026
489.00	0.92358
490.00	0.92377
491.00	0.90952
492.00	0.89953
493.00	0.91943
494.00	0.87958
495.00	0.89586
496.00	0.89527
497.00	0.84923
498.00	0.84483
499.00	0.83505
500.00	0.79574
501.00	0.80873
502.00	0.81031
503.00	0.82751
504.00	0.82236
505.00	0.77807
506.00	0.75106
507.00	0.73247
508.00	0.75068
509.00	0.72799
510.00	0.71524
511.00	0.70826
512.00	0.73967
513.00	0.67820
514.00	0.66974
515.00	0.67665
516.00	0.63527
517.00	0.63663
518.00	0.61282
519.00	0.59858
520.00	0.57680
521.00	0.58855
522.00	0.56685
523.00	0.53229
524.00	0.54545
525.00	0.53483
526.00	0.52154
527.00	0.49397
528.00	0.49172
529.00	0.46461
530.00	0.46265
531.00	0.44049
532.00	0.44346
533.00	0.42274
534.00	0.44728
535.00	0.40853
536.00	0.40319
537.00	0.39378
538.00	0.37002
539.00	0.36063
540.00	0.35841
541.00	0.35692
542.00	0.36725
543.00	0.35886
544.00	0.31238
545.00	0.34527
546.00	0.30832
547.00	0.31384
548.00	0.28064
549.00	0.28034
550.00	0.29237
551.00	0.24963
552.00	0.28419
553.00	0.26034
554.00	0.25022
555.00	0.24378
556.00	0.23946
557.00	0.21399
558.00	0.22211
559.00	0.20904
560.00	0.20387
561.00	0.19311
562.00	0.19915
563.00	0.18682
564.00	0.17163
565.00	0.18850
566.00	0.16804
567.00	0.14153
568.00	0.15873
569.00	0.14183
570.00	0.12989
571.00	0.14380
572.00	0.15210
573.00	0.12683
574.00	0.11680
575.00	0.12536
576.00	0.12300
577.00	0.10640
578.00	0.10762
579.00	0.11562
580.00	0.099404
581.00	0.085211
582.00	0.085062
583.00	0.069725
584.00	0.072939
585.00	0.066389
586.00	0.056287
587.00	0.059450
588.00	0.049374
589.00	0.062131
590.00	0.044554
591.00	0.039296
592.00	0.039825
593.00	0.036917
594.00	0.033312
595.00	0.036415
596.00	0.031757
597.00	0.025049
598.00	0.020437
599.00	0.025498
600.00	0.018117
