Wavelength (nm)	P-6, 11327052, Bis(5-phenyldipyrrinato)zinc.ems
644.50	0.0072700
645.00	0.0071300
645.50	0.0051300
646.00	0.0051600
646.50	0.0027900
647.00	0.011430
647.50	0.0069700
648.00	0.010720
648.50	0.0087900
649.00	0.012180
649.50	0.0063000
650.00	0.0042900
