Wavelength (nm)	D04 abs N
240.00	0.77289
240.25	0.78036
240.50	0.78183
240.75	0.77902
241.00	0.78262
241.25	0.78706
241.50	0.79207
241.75	0.78814
242.00	0.80200
242.25	0.80138
242.50	0.79917
242.75	0.80333
243.00	0.81429
243.25	0.80629
243.50	0.81286
243.75	0.81632
244.00	0.82858
244.25	0.83184
244.50	0.82838
244.75	0.83805
245.00	0.84515
245.25	0.85308
245.50	0.86215
245.75	0.86362
246.00	0.86742
246.25	0.87457
246.50	0.87019
246.75	0.87764
247.00	0.87280
247.25	0.86173
247.50	0.86001
247.75	0.85872
248.00	0.84601
248.25	0.83849
248.50	0.83753
248.75	0.82792
249.00	0.81669
249.25	0.82309
249.50	0.80183
249.75	0.79861
250.00	0.79414
250.25	0.78052
250.50	0.79098
250.75	0.78984
251.00	0.78373
251.25	0.77862
251.50	0.77745
251.75	0.77234
252.00	0.77512
252.25	0.77805
252.50	0.77428
252.75	0.77728
253.00	0.76671
253.25	0.77175
253.50	0.77113
253.75	0.76541
254.00	0.76336
254.25	0.75830
254.50	0.75750
254.75	0.75738
255.00	0.75365
255.25	0.75497
255.50	0.75466
255.75	0.75142
256.00	0.74849
256.25	0.75133
256.50	0.75052
256.75	0.75717
257.00	0.75887
257.25	0.77180
257.50	0.78722
257.75	0.78862
258.00	0.80444
258.25	0.82663
258.50	0.83634
258.75	0.85149
259.00	0.85531
259.25	0.85751
259.50	0.85429
259.75	0.83356
260.00	0.82047
260.25	0.80023
260.50	0.76850
260.75	0.73694
261.00	0.69528
261.25	0.66988
261.50	0.64088
261.75	0.60500
262.00	0.57773
262.25	0.55085
262.50	0.51684
262.75	0.49493
263.00	0.46899
263.25	0.45356
263.50	0.44426
263.75	0.42744
264.00	0.41550
264.25	0.40643
264.50	0.40463
264.75	0.39785
265.00	0.39547
265.25	0.39441
265.50	0.39189
265.75	0.38060
266.00	0.38179
266.25	0.38134
266.50	0.38396
266.75	0.38175
267.00	0.37854
267.25	0.38749
267.50	0.37836
267.75	0.38025
268.00	0.38739
268.25	0.38825
268.50	0.39035
268.75	0.39426
269.00	0.39393
269.25	0.40084
269.50	0.40752
269.75	0.40339
270.00	0.41560
270.25	0.41402
270.50	0.41372
270.75	0.41820
271.00	0.41453
271.25	0.41664
271.50	0.40624
271.75	0.41232
272.00	0.40576
272.25	0.40516
272.50	0.40622
272.75	0.40385
273.00	0.40591
273.25	0.41097
273.50	0.40910
273.75	0.40537
274.00	0.40916
274.25	0.40854
274.50	0.40488
274.75	0.39964
275.00	0.40178
275.25	0.40907
275.50	0.40193
275.75	0.40471
276.00	0.39957
276.25	0.39644
276.50	0.40339
276.75	0.40443
277.00	0.40571
277.25	0.40582
277.50	0.39991
277.75	0.41270
278.00	0.41567
278.25	0.41320
278.50	0.41366
278.75	0.42000
279.00	0.41305
279.25	0.41738
279.50	0.41812
279.75	0.41474
280.00	0.41499
280.25	0.43174
280.50	0.42440
280.75	0.42671
281.00	0.42766
281.25	0.43432
281.50	0.43774
281.75	0.43921
282.00	0.44085
282.25	0.45042
282.50	0.45788
282.75	0.46027
283.00	0.46844
283.25	0.47873
283.50	0.48571
283.75	0.49892
284.00	0.51299
284.25	0.52702
284.50	0.53806
284.75	0.55902
285.00	0.57999
285.25	0.59324
285.50	0.60531
285.75	0.62003
286.00	0.63164
286.25	0.63974
286.50	0.65444
286.75	0.65740
287.00	0.65408
287.25	0.64977
287.50	0.65163
287.75	0.63799
288.00	0.63367
288.25	0.62380
288.50	0.62016
288.75	0.61667
289.00	0.60470
289.25	0.60282
289.50	0.59038
289.75	0.58879
290.00	0.59030
290.25	0.57396
290.50	0.57709
290.75	0.57410
291.00	0.57215
291.25	0.56752
291.50	0.56954
291.75	0.55588
292.00	0.55681
292.25	0.54663
292.50	0.54337
292.75	0.53663
293.00	0.54078
293.25	0.52558
293.50	0.53290
293.75	0.53495
294.00	0.53097
294.25	0.53283
294.50	0.53810
294.75	0.53254
295.00	0.53226
295.25	0.53273
295.50	0.53067
295.75	0.53680
296.00	0.53789
296.25	0.53591
296.50	0.53187
296.75	0.54057
297.00	0.52766
297.25	0.53097
297.50	0.52252
297.75	0.52174
298.00	0.52126
298.25	0.50631
298.50	0.51048
298.75	0.50697
299.00	0.51690
299.25	0.50857
299.50	0.51989
299.75	0.51546
300.00	0.53072
300.25	0.53577
300.50	0.54281
300.75	0.55547
301.00	0.57655
301.25	0.59147
301.50	0.61317
301.75	0.64053
302.00	0.66966
302.25	0.69277
302.50	0.73152
302.75	0.75441
303.00	0.79204
303.25	0.83272
303.50	0.86302
303.75	0.88605
304.00	0.92954
304.25	0.97508
304.50	0.98119
304.75	0.99179
305.00	1.0000
305.25	0.99682
305.50	0.98188
305.75	0.97985
306.00	0.94919
306.25	0.91610
306.50	0.88873
306.75	0.85295
307.00	0.81046
307.25	0.78888
307.50	0.75765
307.75	0.72300
308.00	0.69213
308.25	0.66232
308.50	0.63932
308.75	0.61657
309.00	0.59304
309.25	0.57087
309.50	0.56269
309.75	0.54587
310.00	0.53141
310.25	0.51590
310.50	0.50290
310.75	0.49013
311.00	0.47242
311.25	0.46513
311.50	0.46282
311.75	0.45608
312.00	0.44127
312.25	0.43335
312.50	0.43383
312.75	0.41797
313.00	0.42468
313.25	0.41949
313.50	0.42092
313.75	0.41409
314.00	0.41538
314.25	0.42430
314.50	0.41557
314.75	0.42209
315.00	0.42309
315.25	0.42670
315.50	0.42617
315.75	0.42257
316.00	0.42137
316.25	0.41103
316.50	0.41177
316.75	0.40358
317.00	0.40327
