Wavelength (nm)	E22 ems
450.00	0.00076347
450.50	0.00086887
451.00	0.00089429
451.50	0.00090619
452.00	0.00093053
452.50	0.00099449
453.00	0.00097480
453.50	0.0012030
454.00	0.0012560
454.50	0.0012772
455.00	0.0013700
455.50	0.0014923
456.00	0.0015068
456.50	0.0017293
457.00	0.0018838
457.50	0.0019918
458.00	0.0022810
458.50	0.0026093
459.00	0.0026780
459.50	0.0032441
460.00	0.0032802
460.50	0.0035641
461.00	0.0040489
461.50	0.0047650
462.00	0.0052604
462.50	0.0061416
463.00	0.0070813
463.50	0.0084490
464.00	0.0091378
464.50	0.010526
465.00	0.011253
465.50	0.012577
466.00	0.012701
466.50	0.013337
467.00	0.013372
467.50	0.013770
468.00	0.014005
468.50	0.014257
469.00	0.014793
469.50	0.015896
470.00	0.016740
470.50	0.018499
471.00	0.019575
471.50	0.021568
472.00	0.022745
472.50	0.025284
473.00	0.027237
473.50	0.030328
474.00	0.032503
474.50	0.035686
475.00	0.038668
475.50	0.042148
476.00	0.044874
476.50	0.050056
477.00	0.052906
477.50	0.058615
478.00	0.061749
478.50	0.067968
479.00	0.073164
479.50	0.080218
480.00	0.085153
480.50	0.092518
481.00	0.098368
481.50	0.10837
482.00	0.11434
482.50	0.12425
483.00	0.13216
483.50	0.14370
484.00	0.15079
484.50	0.16072
485.00	0.17105
485.50	0.18320
486.00	0.19058
486.50	0.20238
487.00	0.21364
487.50	0.22769
488.00	0.23650
488.50	0.24996
489.00	0.26082
489.50	0.27943
490.00	0.28717
490.50	0.30426
491.00	0.31518
491.50	0.33412
492.00	0.34356
492.50	0.35930
493.00	0.37198
493.50	0.39190
494.00	0.39986
494.50	0.41947
495.00	0.43211
495.50	0.45066
496.00	0.46226
496.50	0.47875
497.00	0.49247
497.50	0.51174
498.00	0.52187
498.50	0.54125
499.00	0.55340
499.50	0.57556
500.00	0.58419
500.50	0.60127
501.00	0.61274
501.50	0.63263
502.00	0.64549
502.50	0.65921
503.00	0.67298
503.50	0.69284
504.00	0.70363
504.50	0.71393
505.00	0.72723
505.50	0.74501
506.00	0.75349
506.50	0.76514
507.00	0.77834
507.50	0.78792
508.00	0.79768
508.50	0.80983
509.00	0.81882
509.50	0.83203
510.00	0.83658
510.50	0.84658
511.00	0.85472
511.50	0.86748
512.00	0.87222
512.50	0.87894
513.00	0.88742
513.50	0.89661
514.00	0.90318
514.50	0.90986
515.00	0.91469
515.50	0.92113
516.00	0.92810
516.50	0.93643
517.00	0.93776
517.50	0.94398
518.00	0.94796
518.50	0.95368
519.00	0.95745
519.50	0.96360
520.00	0.96571
520.50	0.97227
521.00	0.97323
521.50	0.97755
522.00	0.97963
522.50	0.98263
523.00	0.98669
523.50	0.98979
524.00	0.99099
524.50	0.99053
525.00	0.99136
525.50	0.99585
526.00	0.99619
526.50	0.99671
527.00	0.99908
527.50	0.99979
528.00	0.99943
528.50	0.99887
529.00	1.0000
529.50	0.99771
530.00	0.99921
530.50	0.99840
531.00	0.99341
531.50	0.99653
532.00	0.99382
532.50	0.99197
533.00	0.99162
533.50	0.98702
534.00	0.98758
534.50	0.98404
535.00	0.98398
535.50	0.98082
536.00	0.98251
536.50	0.97300
537.00	0.97673
537.50	0.97142
538.00	0.96858
538.50	0.96761
539.00	0.96514
539.50	0.96043
540.00	0.95616
540.50	0.95412
541.00	0.94935
541.50	0.94602
542.00	0.94359
542.50	0.93226
543.00	0.93390
543.50	0.92829
544.00	0.92549
544.50	0.92001
545.00	0.91705
545.50	0.90951
546.00	0.90719
546.50	0.90060
547.00	0.89938
547.50	0.89119
548.00	0.88893
548.50	0.88060
549.00	0.87695
549.50	0.86744
550.00	0.86700
550.50	0.85817
551.00	0.85704
551.50	0.84761
552.00	0.84842
552.50	0.83875
553.00	0.83188
553.50	0.82632
554.00	0.82021
554.50	0.81074
555.00	0.80787
555.50	0.80097
556.00	0.79520
556.50	0.79405
557.00	0.78528
557.50	0.77527
558.00	0.77569
558.50	0.76779
559.00	0.76297
559.50	0.75644
560.00	0.75355
560.50	0.74262
561.00	0.73972
561.50	0.73080
562.00	0.72757
562.50	0.72348
563.00	0.71452
563.50	0.70690
564.00	0.70335
564.50	0.69637
565.00	0.69119
565.50	0.68292
566.00	0.68002
566.50	0.67233
567.00	0.66972
567.50	0.65828
568.00	0.65611
568.50	0.64835
569.00	0.64405
569.50	0.63601
570.00	0.63220
570.50	0.62817
571.00	0.62071
571.50	0.61206
572.00	0.61105
572.50	0.60251
573.00	0.59906
573.50	0.58923
574.00	0.58644
574.50	0.58203
575.00	0.57588
575.50	0.56732
576.00	0.56418
576.50	0.55666
577.00	0.55128
577.50	0.54364
578.00	0.54304
578.50	0.53415
579.00	0.52700
579.50	0.52100
580.00	0.51689
580.50	0.51585
581.00	0.50773
581.50	0.50414
582.00	0.49743
582.50	0.49239
583.00	0.48824
583.50	0.48066
584.00	0.47706
584.50	0.47481
585.00	0.46983
585.50	0.46114
586.00	0.45992
586.50	0.45233
587.00	0.44822
587.50	0.44185
588.00	0.44016
588.50	0.43376
589.00	0.42725
589.50	0.42320
590.00	0.41951
590.50	0.41700
591.00	0.40893
591.50	0.40319
592.00	0.40329
592.50	0.39642
593.00	0.39361
593.50	0.38953
594.00	0.38540
594.50	0.38054
595.00	0.37504
595.50	0.36871
596.00	0.36823
596.50	0.36544
597.00	0.36049
597.50	0.35434
598.00	0.35098
598.50	0.34732
599.00	0.34200
599.50	0.33852
600.00	0.33514
600.50	0.32944
601.00	0.32541
601.50	0.32247
602.00	0.31944
602.50	0.31454
603.00	0.31116
603.50	0.30549
604.00	0.30200
604.50	0.30069
605.00	0.29603
605.50	0.29169
606.00	0.29049
606.50	0.28673
607.00	0.28305
607.50	0.27737
608.00	0.27800
608.50	0.27221
609.00	0.27122
609.50	0.26678
610.00	0.26489
610.50	0.26122
611.00	0.25944
611.50	0.25342
612.00	0.25127
612.50	0.24681
613.00	0.24535
613.50	0.23989
614.00	0.23950
614.50	0.23662
615.00	0.23348
615.50	0.22945
616.00	0.22930
616.50	0.22527
617.00	0.22378
617.50	0.21777
618.00	0.21680
618.50	0.21160
619.00	0.21221
619.50	0.20950
620.00	0.20812
620.50	0.20427
621.00	0.20315
621.50	0.19895
622.00	0.19717
622.50	0.19674
623.00	0.19224
623.50	0.18828
624.00	0.18769
624.50	0.18465
625.00	0.18215
625.50	0.17958
626.00	0.17761
626.50	0.17463
627.00	0.17225
627.50	0.16872
628.00	0.16717
628.50	0.16650
629.00	0.16526
629.50	0.16219
630.00	0.16207
630.50	0.15970
631.00	0.15865
631.50	0.15430
632.00	0.15298
632.50	0.15217
633.00	0.14913
633.50	0.14812
634.00	0.14604
634.50	0.14436
635.00	0.14235
635.50	0.13949
636.00	0.13745
636.50	0.13742
637.00	0.13448
637.50	0.13257
638.00	0.13174
638.50	0.13108
639.00	0.12798
639.50	0.12712
640.00	0.12562
640.50	0.12326
641.00	0.12073
641.50	0.12011
642.00	0.12042
642.50	0.11689
643.00	0.11616
643.50	0.11550
644.00	0.11379
644.50	0.11157
645.00	0.11207
645.50	0.10839
646.00	0.10707
646.50	0.10584
647.00	0.10479
647.50	0.10401
648.00	0.10355
648.50	0.099693
649.00	0.10003
649.50	0.097767
650.00	0.097408
650.50	0.095572
651.00	0.094392
651.50	0.093472
652.00	0.092094
652.50	0.089989
653.00	0.088112
653.50	0.087719
654.00	0.088071
654.50	0.087838
655.00	0.085826
655.50	0.083673
656.00	0.083782
656.50	0.082489
657.00	0.080992
657.50	0.079945
658.00	0.079754
658.50	0.079548
659.00	0.077489
659.50	0.076302
660.00	0.075718
660.50	0.074337
661.00	0.073925
661.50	0.072198
662.00	0.071875
662.50	0.070091
663.00	0.069134
663.50	0.068086
664.00	0.068162
664.50	0.067139
665.00	0.066793
665.50	0.066212
666.00	0.064209
666.50	0.063815
667.00	0.062661
667.50	0.062445
668.00	0.061509
668.50	0.061706
669.00	0.060015
669.50	0.058501
670.00	0.057685
670.50	0.057591
671.00	0.058479
671.50	0.055957
672.00	0.055553
672.50	0.054701
673.00	0.054027
673.50	0.052777
674.00	0.052764
674.50	0.052343
675.00	0.051846
675.50	0.050489
676.00	0.050510
676.50	0.049745
677.00	0.048415
677.50	0.048717
678.00	0.048761
678.50	0.047555
679.00	0.047084
679.50	0.046927
680.00	0.045752
680.50	0.044920
681.00	0.045628
681.50	0.044141
682.00	0.043462
682.50	0.042485
683.00	0.042643
683.50	0.041951
684.00	0.041123
684.50	0.039835
685.00	0.039731
685.50	0.039699
686.00	0.039352
686.50	0.039680
687.00	0.037523
687.50	0.037495
688.00	0.037620
688.50	0.037101
689.00	0.037391
689.50	0.035884
690.00	0.035877
690.50	0.036280
691.00	0.035333
691.50	0.034507
692.00	0.034844
692.50	0.033531
693.00	0.033452
693.50	0.033355
694.00	0.032328
694.50	0.032063
695.00	0.031522
695.50	0.031319
696.00	0.031470
696.50	0.030266
697.00	0.029794
697.50	0.030444
698.00	0.030235
698.50	0.029932
699.00	0.027563
699.50	0.029095
700.00	0.029181
700.50	0.027908
701.00	0.027868
701.50	0.027228
702.00	0.026334
702.50	0.026863
703.00	0.026550
703.50	0.025936
704.00	0.025583
704.50	0.025135
705.00	0.026343
705.50	0.023971
706.00	0.025328
706.50	0.024197
707.00	0.024176
707.50	0.023791
708.00	0.023271
708.50	0.023024
709.00	0.023303
709.50	0.023437
710.00	0.023718
710.50	0.022376
711.00	0.021206
711.50	0.021490
712.00	0.021080
712.50	0.021686
713.00	0.021177
713.50	0.021024
714.00	0.021188
714.50	0.020633
715.00	0.020070
715.50	0.019982
716.00	0.019272
716.50	0.020459
717.00	0.019284
717.50	0.018332
718.00	0.019050
718.50	0.018150
719.00	0.017773
719.50	0.018741
720.00	0.018912
720.50	0.017971
721.00	0.017375
721.50	0.017755
722.00	0.017673
722.50	0.016956
723.00	0.016720
723.50	0.015964
724.00	0.016672
724.50	0.015337
725.00	0.016395
725.50	0.014772
726.00	0.015710
726.50	0.015723
727.00	0.015540
727.50	0.015582
728.00	0.015129
728.50	0.014304
729.00	0.015258
729.50	0.014128
730.00	0.014719
730.50	0.013799
731.00	0.014707
731.50	0.013818
732.00	0.013101
732.50	0.014089
733.00	0.013855
733.50	0.013333
734.00	0.013481
734.50	0.013607
735.00	0.012960
735.50	0.012495
736.00	0.012524
736.50	0.013242
737.00	0.012495
737.50	0.012472
738.00	0.012423
738.50	0.012915
739.00	0.011991
739.50	0.011553
740.00	0.011878
740.50	0.011538
741.00	0.010985
741.50	0.012320
742.00	0.010408
742.50	0.011357
743.00	0.011638
743.50	0.012135
744.00	0.010887
744.50	0.011059
745.00	0.010729
745.50	0.010189
746.00	0.010249
746.50	0.010364
747.00	0.0099077
747.50	0.0091934
748.00	0.011263
748.50	0.010802
749.00	0.010236
749.50	0.0094468
750.00	0.0092111
