Wavelength (nm)	L04 abs N	L04 abs e
310.00	0.048413	3902.1
311.00	0.045908	3700.2
312.00	0.043806	3530.8
313.00	0.042378	3415.7
314.00	0.041118	3314.1
315.00	0.039993	3223.4
316.00	0.038905	3135.7
317.00	0.037866	3052.0
318.00	0.037114	2991.4
319.00	0.036594	2949.5
320.00	0.036067	2907.0
321.00	0.035591	2868.7
322.00	0.035832	2888.1
323.00	0.035225	2839.1
324.00	0.034756	2801.3
325.00	0.034377	2770.8
326.00	0.034031	2742.9
327.00	0.033891	2731.6
328.00	0.033439	2695.2
329.00	0.032986	2658.7
330.00	0.032867	2649.1
331.00	0.032441	2614.8
332.00	0.032153	2591.6
333.00	0.031943	2574.6
334.00	0.031651	2551.1
335.00	0.031259	2519.5
336.00	0.030892	2489.9
337.00	0.030466	2455.5
338.00	0.030052	2422.2
339.00	0.029756	2398.3
340.00	0.029337	2364.5
341.00	0.028928	2331.6
342.00	0.028507	2297.7
343.00	0.028344	2284.6
344.00	0.027795	2240.3
345.00	0.027506	2217.0
346.00	0.027008	2176.8
347.00	0.026598	2143.8
348.00	0.026354	2124.1
349.00	0.025460	2052.1
350.00	0.025300	2039.2
351.00	0.025103	2023.3
352.00	0.024771	1996.5
353.00	0.024436	1969.5
354.00	0.024207	1951.1
355.00	0.024094	1941.9
356.00	0.023908	1927.0
357.00	0.023516	1895.4
358.00	0.023210	1870.7
359.00	0.023106	1862.3
360.00	0.022918	1847.2
361.00	0.023067	1859.2
362.00	0.022998	1853.6
363.00	0.022894	1845.2
364.00	0.022637	1824.5
365.00	0.022482	1812.0
366.00	0.022277	1795.5
367.00	0.022352	1801.6
368.00	0.022371	1803.1
369.00	0.022165	1786.5
370.00	0.021684	1747.8
371.00	0.021980	1771.6
372.00	0.022050	1777.2
373.00	0.021400	1724.9
374.00	0.021362	1721.7
375.00	0.021182	1707.3
376.00	0.021083	1699.3
377.00	0.020818	1677.9
378.00	0.021147	1704.5
379.00	0.021158	1705.3
380.00	0.021269	1714.3
381.00	0.021452	1729.0
382.00	0.021330	1719.2
383.00	0.021663	1746.0
384.00	0.022282	1795.9
385.00	0.022495	1813.1
386.00	0.023060	1858.6
387.00	0.023476	1892.1
388.00	0.023670	1907.8
389.00	0.024514	1975.9
390.00	0.024751	1995.0
391.00	0.025553	2059.5
392.00	0.026588	2143.0
393.00	0.027323	2202.2
394.00	0.028214	2274.1
395.00	0.028604	2305.5
396.00	0.029917	2411.3
397.00	0.031111	2507.6
398.00	0.032509	2620.3
399.00	0.033787	2723.2
400.00	0.034973	2818.8
401.00	0.036188	2916.7
402.00	0.037686	3037.5
403.00	0.039400	3175.7
404.00	0.041124	3314.6
405.00	0.042660	3438.4
406.00	0.044486	3585.6
407.00	0.045934	3702.3
408.00	0.047982	3867.3
409.00	0.050384	4060.9
410.00	0.052562	4236.5
411.00	0.054762	4413.8
412.00	0.057182	4608.9
413.00	0.059706	4812.3
414.00	0.061926	4991.2
415.00	0.064363	5187.7
416.00	0.067544	5444.0
417.00	0.070411	5675.1
418.00	0.073297	5907.7
419.00	0.076295	6149.4
420.00	0.079821	6433.6
421.00	0.083193	6705.4
422.00	0.086267	6953.2
423.00	0.089844	7241.4
424.00	0.093803	7560.5
425.00	0.097387	7849.4
426.00	0.10109	8148.2
427.00	0.10585	8531.9
428.00	0.11010	8873.7
429.00	0.11466	9241.4
430.00	0.11983	9658.2
431.00	0.12409	10002
432.00	0.12868	10372
433.00	0.13421	10817
434.00	0.14016	11297
435.00	0.14521	11704
436.00	0.15083	12157
437.00	0.15704	12657
438.00	0.16307	13144
439.00	0.16910	13630
440.00	0.17507	14110
441.00	0.18239	14700
442.00	0.18841	15186
443.00	0.19509	15725
444.00	0.20235	16309
445.00	0.20870	16821
446.00	0.21592	17403
447.00	0.22253	17936
448.00	0.22949	18497
449.00	0.23613	19032
450.00	0.24312	19595
451.00	0.25065	20203
452.00	0.25762	20764
453.00	0.26442	21312
454.00	0.27188	21913
455.00	0.27874	22467
456.00	0.28582	23037
457.00	0.29276	23596
458.00	0.29996	24177
459.00	0.30670	24720
460.00	0.31261	25196
461.00	0.31949	25751
462.00	0.32625	26296
463.00	0.33414	26932
464.00	0.34119	27500
465.00	0.34765	28021
466.00	0.35449	28572
467.00	0.36143	29131
468.00	0.36913	29752
469.00	0.37632	30332
470.00	0.38325	30890
471.00	0.39163	31565
472.00	0.40004	32243
473.00	0.40767	32859
474.00	0.41439	33400
475.00	0.42235	34042
476.00	0.42837	34527
477.00	0.43606	35146
478.00	0.44265	35678
479.00	0.44862	36159
480.00	0.45533	36700
481.00	0.46067	37130
482.00	0.46639	37591
483.00	0.47181	38028
484.00	0.47631	38391
485.00	0.48300	38930
486.00	0.48742	39286
487.00	0.48728	39275
488.00	0.48962	39463
489.00	0.49528	39920
490.00	0.49729	40082
491.00	0.50059	40348
492.00	0.50279	40525
493.00	0.50635	40812
494.00	0.50909	41032
495.00	0.51066	41159
496.00	0.51476	41490
497.00	0.51801	41752
498.00	0.52144	42028
499.00	0.52480	42299
500.00	0.52732	42502
501.00	0.53105	42803
502.00	0.53505	43125
503.00	0.53941	43476
504.00	0.54380	43830
505.00	0.55046	44367
506.00	0.55645	44850
507.00	0.56147	45255
508.00	0.56766	45754
509.00	0.57365	46237
510.00	0.58084	46816
511.00	0.58875	47453
512.00	0.59570	48013
513.00	0.60538	48793
514.00	0.61455	49533
515.00	0.62215	50145
516.00	0.63237	50969
517.00	0.64188	51736
518.00	0.65560	52841
519.00	0.66894	53917
520.00	0.68377	55112
521.00	0.69345	55892
522.00	0.70941	57178
523.00	0.72321	58291
524.00	0.73857	59528
525.00	0.75622	60951
526.00	0.77271	62281
527.00	0.78534	63299
528.00	0.80966	65259
529.00	0.82109	66180
530.00	0.83920	67639
531.00	0.85853	69197
532.00	0.87579	70589
533.00	0.89634	72245
534.00	0.91397	73666
535.00	0.92895	74874
536.00	0.94375	76066
537.00	0.95527	76995
538.00	0.97245	78379
539.00	0.97931	78932
540.00	0.98605	79476
541.00	0.99455	80161
542.00	0.99978	80582
543.00	1.0000	80600
544.00	0.99849	80479
545.00	0.99430	80141
546.00	0.98452	79352
547.00	0.97561	78634
548.00	0.96493	77773
549.00	0.94784	76396
550.00	0.92823	74815
551.00	0.90687	73093
552.00	0.88245	71125
553.00	0.85784	69142
554.00	0.82937	66847
555.00	0.79886	64388
556.00	0.77065	62114
557.00	0.73939	59595
558.00	0.70483	56810
559.00	0.67192	54157
560.00	0.63783	51409
561.00	0.60621	48861
562.00	0.57274	46162
563.00	0.54083	43591
564.00	0.50919	41040
565.00	0.47794	38522
566.00	0.44652	35989
567.00	0.41661	33579
568.00	0.38996	31431
569.00	0.36217	29191
570.00	0.33744	27198
571.00	0.31288	25218
572.00	0.29089	23446
573.00	0.26859	21648
574.00	0.24774	19967
575.00	0.22969	18513
576.00	0.21112	17017
577.00	0.19329	15579
578.00	0.17858	14393
579.00	0.16402	13220
580.00	0.14971	12067
581.00	0.13690	11034
582.00	0.12659	10203
583.00	0.11675	9410.0
584.00	0.10530	8487.1
585.00	0.096541	7781.2
586.00	0.088911	7166.2
587.00	0.080732	6507.0
588.00	0.073788	5947.3
589.00	0.067909	5473.4
590.00	0.061789	4980.2
591.00	0.056601	4562.1
592.00	0.051737	4170.0
593.00	0.046960	3784.9
594.00	0.043163	3478.9
595.00	0.039581	3190.2
596.00	0.036379	2932.1
597.00	0.033319	2685.5
598.00	0.030506	2458.8
599.00	0.027835	2243.5
600.00	0.025753	2075.7
601.00	0.023823	1920.1
602.00	0.021900	1765.2
603.00	0.019832	1598.4
604.00	0.018504	1491.4
605.00	0.017268	1391.8
606.00	0.016158	1302.4
607.00	0.014897	1200.7
608.00	0.014081	1134.9
609.00	0.012882	1038.3
610.00	0.012157	979.85
611.00	0.011441	922.14
612.00	0.010697	862.21
613.00	0.0099003	797.96
614.00	0.0093666	754.95
615.00	0.0089612	722.27
616.00	0.0085746	691.11
617.00	0.0079082	637.40
618.00	0.0077049	621.02
619.00	0.0071723	578.09
620.00	0.0067587	544.75
621.00	0.0065856	530.80
622.00	0.0061832	498.36
623.00	0.0060325	486.22
624.00	0.0059115	476.47
625.00	0.0055576	447.94
626.00	0.0056403	454.61
627.00	0.0055351	446.13
628.00	0.0050291	405.34
629.00	0.0050173	404.40
630.00	0.0050265	405.14
631.00	0.0049994	402.95
632.00	0.0047395	382.00
633.00	0.0048049	387.27
634.00	0.0046292	373.11
635.00	0.0045322	365.29
636.00	0.0046685	376.28
637.00	0.0043310	349.08
638.00	0.0041441	334.01
639.00	0.0042784	344.84
640.00	0.0040322	325.00
641.00	0.0041783	336.77
642.00	0.0039909	321.66
643.00	0.0048263	389.00
644.00	0.0041497	334.47
645.00	0.0047845	385.63
646.00	0.0042636	343.64
647.00	0.0041558	334.96
648.00	0.0036201	291.78
649.00	0.0040425	325.82
650.00	0.0037968	306.02
651.00	0.0040399	325.62
652.00	0.0039270	316.52
653.00	0.0035435	285.61
654.00	0.0032417	261.28
655.00	0.0036712	295.90
656.00	0.0038101	307.09
657.00	0.0037222	300.01
658.00	0.0037339	300.95
659.00	0.0036263	292.28
660.00	0.0032080	258.57
661.00	0.0038561	310.80
662.00	0.0039398	317.55
663.00	0.0031079	250.50
664.00	0.0029170	235.11
665.00	0.0030380	244.86
666.00	0.0035083	282.77
667.00	0.0032821	264.54
668.00	0.0033045	266.35
669.00	0.0036620	295.16
670.00	0.0030768	247.99
671.00	0.0029599	238.56
672.00	0.0029348	236.55
673.00	0.0030426	245.23
674.00	0.0028536	230.00
675.00	0.0030400	245.03
676.00	0.0032611	262.85
677.00	0.0032147	259.10
678.00	0.0029680	239.22
679.00	0.0031886	257.00
680.00	0.0031090	250.58
681.00	0.0029890	240.91
682.00	0.0030834	248.52
683.00	0.0032948	265.56
684.00	0.0031549	254.29
685.00	0.0027229	219.47
686.00	0.0030007	241.86
687.00	0.0027541	221.98
688.00	0.0029599	238.56
689.00	0.0031626	254.90
690.00	0.0031611	254.78
691.00	0.0029900	240.99
692.00	0.0034455	277.71
693.00	0.0027719	223.42
694.00	0.0028838	232.43
695.00	0.0027147	218.81
696.00	0.0027086	218.31
697.00	0.0025585	206.21
698.00	0.0030053	242.23
699.00	0.0029440	237.29
700.00	0.0031764	256.02
