Wavelength (nm)	F18 ems
400.00	0.31955
401.00	0.26131
402.00	0.25712
403.00	0.28317
404.00	0.29243
405.00	0.29512
406.00	0.30273
407.00	0.23897
408.00	0.26547
409.00	0.25196
410.00	0.29526
411.00	0.30418
412.00	0.32121
413.00	0.38040
414.00	0.34701
415.00	0.36728
416.00	0.44038
417.00	0.47968
418.00	0.48993
419.00	0.52708
420.00	0.54802
421.00	0.58075
422.00	0.66492
423.00	0.65825
424.00	0.64707
425.00	0.71313
426.00	0.75284
427.00	0.72645
428.00	0.78373
429.00	0.78780
430.00	0.78694
431.00	0.83074
432.00	0.82842
433.00	0.84843
434.00	0.92286
435.00	0.94948
436.00	0.95541
437.00	0.95613
438.00	0.99256
439.00	0.93738
440.00	0.95229
441.00	0.93588
442.00	0.94684
443.00	0.96372
444.00	0.99005
445.00	0.91862
446.00	0.91847
447.00	0.97225
448.00	0.95671
449.00	0.95778
450.00	0.93180
451.00	0.95317
452.00	1.0000
453.00	0.93195
454.00	0.96923
455.00	0.91783
456.00	0.92345
457.00	0.88586
458.00	0.96912
459.00	0.92248
460.00	0.89088
461.00	0.89926
462.00	0.89742
463.00	0.87385
464.00	0.91018
465.00	0.82259
466.00	0.86476
467.00	0.79260
468.00	0.85416
469.00	0.80008
470.00	0.80578
471.00	0.79478
472.00	0.77760
473.00	0.73065
474.00	0.71662
475.00	0.69397
476.00	0.68912
477.00	0.66737
478.00	0.61842
479.00	0.61702
480.00	0.66311
481.00	0.60583
482.00	0.65089
483.00	0.63466
484.00	0.61439
485.00	0.59836
486.00	0.57754
487.00	0.57403
488.00	0.54289
489.00	0.51997
490.00	0.51448
491.00	0.50166
492.00	0.48234
493.00	0.44193
494.00	0.43090
495.00	0.47388
496.00	0.41058
497.00	0.43979
498.00	0.38119
499.00	0.36078
500.00	0.34009
501.00	0.37365
502.00	0.34264
503.00	0.32786
504.00	0.28192
505.00	0.31609
506.00	0.26305
507.00	0.31086
508.00	0.24031
509.00	0.23759
510.00	0.22123
511.00	0.25170
512.00	0.20591
513.00	0.21511
514.00	0.21588
515.00	0.19207
516.00	0.17749
517.00	0.14470
518.00	0.16076
519.00	0.16552
520.00	0.12250
521.00	0.15763
522.00	0.14457
523.00	0.11292
524.00	0.10636
525.00	0.097780
526.00	0.10780
527.00	0.079836
528.00	0.061585
529.00	0.083717
530.00	0.053774
531.00	0.064995
532.00	0.062093
533.00	0.064030
534.00	0.053072
535.00	0.025608
536.00	0.040844
537.00	0.035944
538.00	0.031450
539.00	0.046264
540.00	0.092425
541.00	0.051562
542.00	0.088746
543.00	0.092543
544.00	0.062878
545.00	0.043662
546.00	0.054702
547.00	0.034238
548.00	0.041243
549.00	0.0090029
550.00	0.013975
