Wavelength (nm)	A12 abs2 N
205.00	0.42653
206.00	0.41628
207.00	0.41935
208.00	0.43308
209.00	0.44738
210.00	0.46409
211.00	0.49142
212.00	0.52891
213.00	0.56759
214.00	0.60846
215.00	0.66200
216.00	0.73292
217.00	0.79709
218.00	0.83568
219.00	0.87451
220.00	0.94179
221.00	0.99402
222.00	1.0000
223.00	0.97243
224.00	0.94436
225.00	0.94617
226.00	0.94936
227.00	0.88350
228.00	0.76332
229.00	0.74792
230.00	0.83956
231.00	0.80070
232.00	0.57031
233.00	0.32623
234.00	0.16900
235.00	0.084689
236.00	0.045121
237.00	0.025710
238.00	0.015799
239.00	0.010970
240.00	0.0082901
241.00	0.0070992
242.00	0.0068781
243.00	0.0069820
244.00	0.0073604
245.00	0.0077387
246.00	0.0082120
247.00	0.0087786
248.00	0.010017
249.00	0.011421
250.00	0.012502
251.00	0.013383
252.00	0.013924
253.00	0.014404
254.00	0.016492
255.00	0.019414
256.00	0.021693
257.00	0.023113
258.00	0.024165
259.00	0.024777
260.00	0.025495
261.00	0.028915
262.00	0.033133
263.00	0.036730
264.00	0.037608
265.00	0.037302
266.00	0.035355
267.00	0.034364
268.00	0.038659
269.00	0.048337
270.00	0.052738
271.00	0.046976
272.00	0.039456
273.00	0.031758
274.00	0.024261
275.00	0.024115
276.00	0.042146
277.00	0.052881
278.00	0.038407
279.00	0.021800
280.00	0.012777
281.00	0.0079761
282.00	0.0050804
283.00	0.0035144
284.00	0.0025884
285.00	0.0021869
286.00	0.0019410
287.00	0.0016629
288.00	0.0014593
289.00	0.0012250
290.00	0.0011701
291.00	0.0012150
292.00	0.0010066
293.00	0.00074433
294.00	0.00089682
295.00	0.00082453
296.00	0.00082400
297.00	0.00077810
298.00	0.00076069
299.00	0.00092689
300.00	0.00084247
