Wavelength (nm)	D08 abs N
548.00	0.0015159
549.00	0.0011093
550.00	0.0017021
551.00	0.0018172
552.00	0.0022625
553.00	0.0019814
554.00	0.0020740
555.00	0.0016829
556.00	0.0012029
557.00	0.0014869
558.00	0.0017269
559.00	0.0018406
560.00	0.0020052
561.00	0.0017924
562.00	0.0014401
563.00	0.0015346
564.00	0.0016029
565.00	0.0013760
566.00	0.0018696
567.00	0.0015098
568.00	0.0014462
569.00	0.0011917
570.00	0.0014420
571.00	0.0016113
572.00	0.0016647
573.00	0.0014644
574.00	0.0011837
575.00	0.0013447
576.00	0.0014654
577.00	0.0015201
578.00	0.0015140
579.00	0.0014452
580.00	0.0013447
581.00	0.0013423
582.00	0.0013339
583.00	0.0014831
584.00	0.0013568
585.00	0.0014148
586.00	0.0015861
587.00	0.0015552
588.00	0.0013138
589.00	0.0015688
590.00	0.0014593
591.00	0.0015444
592.00	0.0015070
593.00	0.0013882
594.00	0.0013498
595.00	0.0014593
596.00	0.0015903
597.00	0.0016240
598.00	0.0014752
599.00	0.0013512
600.00	0.0013858
