Wavelength (nm)	M-1, 198-55-0, Perylene.ems
593.00	0.0040716
593.50	0.0038782
594.00	0.0038905
594.50	0.0037169
595.00	0.0036853
595.50	0.0035552
596.00	0.0035391
596.50	0.0034286
597.00	0.0033471
597.50	0.0032628
598.00	0.0031252
598.50	0.0031095
599.00	0.0030400
599.50	0.0029223
600.00	0.0029398
