Wavelength (nm)	L-3, 548-62-9, Crystal violet.ems
742.00	0.29618
742.50	0.29036
743.00	0.29388
743.50	0.31279
744.00	0.28319
744.50	0.30170
745.00	0.29329
745.50	0.28925
746.00	0.28434
746.50	0.26477
747.00	0.27858
747.50	0.26972
748.00	0.26991
748.50	0.28068
749.00	0.27189
749.50	0.26436
750.00	0.27246
750.50	0.23620
751.00	0.26873
751.50	0.26204
752.00	0.26457
752.50	0.28045
753.00	0.26682
753.50	0.26336
754.00	0.26071
754.50	0.24759
755.00	0.23985
755.50	0.25489
756.00	0.25390
756.50	0.24224
757.00	0.24888
757.50	0.25318
758.00	0.23287
758.50	0.24798
759.00	0.22376
759.50	0.23285
760.00	0.22699
760.50	0.22018
761.00	0.23035
761.50	0.21536
762.00	0.20960
762.50	0.21259
763.00	0.21750
763.50	0.23327
764.00	0.21080
764.50	0.22892
765.00	0.19874
765.50	0.22679
766.00	0.19927
766.50	0.22235
767.00	0.23807
767.50	0.21709
768.00	0.21824
768.50	0.21972
769.00	0.20806
769.50	0.19931
770.00	0.21432
770.50	0.20694
771.00	0.19706
771.50	0.20300
772.00	0.17833
772.50	0.19821
773.00	0.20633
773.50	0.20142
774.00	0.19823
774.50	0.19535
775.00	0.19603
775.50	0.18876
776.00	0.18613
776.50	0.20394
777.00	0.16312
777.50	0.20425
778.00	0.18675
778.50	0.17205
779.00	0.17969
779.50	0.17119
780.00	0.20694
780.50	0.17821
781.00	0.17867
781.50	0.18259
782.00	0.19272
782.50	0.18197
783.00	0.17580
783.50	0.16760
784.00	0.15972
784.50	0.17547
785.00	0.17111
785.50	0.16505
786.00	0.18938
786.50	0.16243
787.00	0.14009
787.50	0.16623
788.00	0.16651
788.50	0.14635
789.00	0.16256
789.50	0.16611
790.00	0.14982
790.50	0.14178
791.00	0.14160
791.50	0.16030
792.00	0.15133
792.50	0.14567
793.00	0.15186
793.50	0.13929
794.00	0.13734
794.50	0.15391
795.00	0.15243
795.50	0.15496
796.00	0.16669
796.50	0.13323
797.00	0.15115
797.50	0.14569
798.00	0.11427
798.50	0.11215
799.00	0.12037
799.50	0.13864
800.00	0.14160
