Wavelength (nm)	D10 abs N
552.00	0.0053473
553.00	0.0052332
554.00	0.0056066
555.00	0.0044581
556.00	0.0043233
557.00	0.0043081
558.00	0.0044195
559.00	0.0042537
560.00	0.0039167
561.00	0.0035123
562.00	0.0039580
563.00	0.0031830
564.00	0.0032270
565.00	0.0032243
566.00	0.0029003
567.00	0.0029215
568.00	0.0031753
569.00	0.0029601
570.00	0.0028123
571.00	0.0022785
572.00	0.0028280
573.00	0.0025351
574.00	0.0024079
575.00	0.0025997
576.00	0.0026334
577.00	0.0025997
578.00	0.0024470
579.00	0.0029443
580.00	0.0015915
581.00	0.0021176
582.00	0.0026101
583.00	0.0026519
584.00	0.0016148
585.00	0.0013610
586.00	0.0020323
587.00	0.0015241
588.00	0.0022964
589.00	0.0015529
590.00	0.0015632
591.00	0.0016018
592.00	0.00082455
593.00	0.0012806
594.00	0.0016127
595.00	0.0011898
596.00	0.00090227
597.00	0.00096423
598.00	0.00081694
599.00	0.00079085
600.00	0.00082183
