Wavelength (nm)	D03 abs N
328.25	0.13450
328.50	0.11880
328.75	0.11392
329.00	0.10125
329.25	0.088501
329.50	0.086031
329.75	0.070445
330.00	0.070928
330.25	0.058079
330.50	0.053675
330.75	0.051548
331.00	0.045099
331.25	0.037133
331.50	0.037485
331.75	0.036993
332.00	0.034620
332.25	0.027766
332.50	0.023789
332.75	0.021419
333.00	0.018565
333.25	0.017888
333.50	0.019703
333.75	0.022129
334.00	0.013649
334.25	0.015078
334.50	0.0098048
334.75	0.015399
335.00	0.010015
335.25	0.0080255
335.50	0.011606
335.75	0.0053108
336.00	0.0099664
336.25	0.0058657
336.50	0.0087426
336.75	0.0043106
337.00	0.0030604
337.25	0.0021998
337.50	0.0054301
337.75	0.0035556
338.00	0.0031978
338.25	0.0033971
338.50	0.0053576
338.75	0.0050428
339.00	0.0057351
339.25	0.0040176
339.50	0.00019628
339.75	0.0018586
340.00	0.00082210
340.25	0.0042939
340.50	0.0038251
340.75	-0.0046691
341.00	0.0038289
341.25	0.0065836
341.50	0.00095195
341.75	0.0021183
342.00	0.0070056
342.25	-0.0038168
342.50	0.0040818
342.75	0.0063722
343.00	0.0020443
343.25	0.0013694
343.50	0.0024897
343.75	0.0030219
344.00	0.00090892
344.25	0.0068410
344.50	0.0013075
344.75	-4.9824e-05
345.00	-0.0015664
345.25	-0.0025320
345.50	0.0021470
345.75	0.0075740
346.00	0.00062960
346.25	-0.0014570
346.50	0.0019122
346.75	0.0040048
347.00	0.0044027
347.25	-0.00056543
347.50	-0.00039935
347.75	0.0037632
348.00	-0.00025365
348.25	0.0041618
348.50	0.00012532
348.75	9.8139e-06
349.00	0.00039255
349.25	0.0028913
349.50	0.0030755
349.75	0.0059819
350.00	0.0062009
350.25	0.0048299
350.50	0.0014117
350.75	0.0019250
351.00	0.0018344
351.25	0.0029411
351.50	0.0041475
351.75	0.00016306
352.00	0.0019839
352.25	0.0033654
352.50	0.0047409
352.75	0.0016699
353.00	-3.0196e-05
353.25	-0.00083871
353.50	0.0020232
353.75	0.0064402
354.00	0.0027245
