,weight,available modification,product number,formula,absorption,emission max,solution,name,molar absorbance
83,812.78,Amino-derivative,546-02,C35H43Cl2N5O9S2,549,569,(in PBS),DY-546,"100,000"
84,914.80,Maleimide,546-03,C39H42Cl2N5O11S2 * Na,549,569,(in PBS),DY-546,"100,000"
87,682.78,Carboxylic acid,547P1-00,C32H39N2O9S2 * Na,551,565,(in PBS),DY-547P1,"150,000"
88,779.85,NHS-ester,547P1-01,C36H42N3O11S2 * Na,551,565,(in PBS),DY-547P1,"150,000"
89,702.88,Amino-derivative,547P1-02,C34H46N4O8S2,551,565,(in PBS),DY-547P1,"150,000"
90,804.90,Maleimide,547P1-03,C38H45N4O10S2 * Na,551,565,(in PBS),DY-547P1,"150,000"
93,812.88,Carboxylic acid,548P1-00,C34H42N2O12S3 * 2 Na,554,568,(in PBS),DY-548P1,"150,000"
94,909.95,NHS-ester,548P1-01,C38H45N3O14S3 * 2 Na,554,568,(in PBS),DY-548P1,"150,000"
95,832.98,Amino-derivative,548P1-02,C36H49N4O11S3 * Na,554,568,(in PBS),DY-548P1,"150,000"
96,935.00,Maleimide,548P1-03,C40H48N4O13S3 * 2 Na,554,568,(in PBS),DY-548P1,"150,000"
103,942.99,Carboxylic acid,549P1-00,C36H45N2O15S4 * 3 Na,556,570,(in PBS),DY-549P1,"150,000"
104,1040.06,NHS-ester,549P1-01,C40H48N3O17S4 * 3 Na,556,570,(in PBS),DY-549P1,"150,000"
105,963.09,Amino-derivative,549P1-02,C38H52N4O14S4 * 2 Na,556,570,(in PBS),DY-549P1,"150,000"
106,1065.12,Maleimide,549P1-03,C42H51N4O16S4 * 3 Na,556,570,(in PBS),DY-549P1,"150,000"
109,667.76,Carboxylic acid,550-00,C32H42N3O9S * Na,558,577,(in Ethanol),DY-550,"120,000"
110,764.83,NHS-ester,550-01,C36H45N4O11S * Na,558,577,(in Ethanol),DY-550,"120,000"
111,687.86,Amino-derivative,550-02,C34H49N5O8S,558,577,(in Ethanol),DY-550,"120,000"
112,789.89,Maleimide,550-03,C38H48N5O10S * Na,558,577,(in Ethanol),DY-550,"120,000"
127,580.08,Carboxylic acid,554-00,C31H34N3O6 * Cl,544,570,(in Ethanol),DY-554,"100,000"
128,677.16,NHS-ester,554-01,C35H37N4O8 * Cl,544,570,(in Ethanol),DY-554,"100,000"
129,658.62,Amino-derivative,554-02,C33H41N5O5 * 2 Cl,544,570,(in Ethanol),DY-554,"100,000"
130,779.78,Maleimide,554-03,C37H40N5O7 * C2F3O2,544,570,(in Ethanol),DY-554,"100,000"
133,636.19,Carboxylic acid,555-00,C35H42N3O6 * Cl,547,573,(in Ethanol),DY-555,"100,000"
134,733.27,NHS-ester,555-01,C39H45N4O8 * Cl,547,573,(in Ethanol),DY-555,"100,000"
135,714.72,Amino-derivative,555-02,C37H49N5O5 * 2 Cl,547,573,(in Ethanol),DY-555,"100,000"
136,721.86,Maleimide,555-03,C41H47N5O7,547,573,(in Ethanol),DY-555,"100,000"
143,715.80,Carboxylic acid,556-00,C36H42N3O9S * Na,548,574,(in Ethanol),DY-556,"100,000"
144,812.88,NHS-ester,556-01,C40H45N4O11S * Na,548,574,(in Ethanol),DY-556,"100,000"
145,735.91,Amino-derivative,556-02,C38H49N5O8S,548,574,(in Ethanol),DY-556,"100,000"
146,837.93,Maleimide,556-03,C42H48N5O10S * Na,548,574,(in Ethanol),DY-556,"100,000"
149,831.86,Carboxylic acid,557-00,C37H43N3O12S2 * 2 Na,556,576,(in Ethanol),DY-557,"100,000"
150,928.93,NHS-ester,557-01,C41H46N4O14S2 * 2 Na,556,576,(in Ethanol),DY-557,"100,000"
151,851.96,Amino-derivative,557-02,C39H50N5O11S2 * Na,556,576,(in Ethanol),DY-557,"100,000"
152,953.98,Maleimide,557-03,C43H49N5O13S2 * 2 Na,556,576,(in Ethanol),DY-557,"100,000"
155,671.84,Carboxylic acid,560-00,C33H41N3O8S2,560,578,(in Ethanol),DY-560,"120,000"
156,768.91,NHS-ester,560-01,C37H44N4O10S2,560,578,(in Ethanol),DY-560,"120,000"
157,750.38,Amino-derivative,560-02,C35H48N5O7S2 * Cl,560,578,(in Ethanol),DY-560,"120,000"
158,793.97,Maleimide,560-03,C39H47N5O9S2,560,578,(in Ethanol),DY-560,"120,000"
161,571.06,Carboxylic acid,580-00,C33H31N2O5 * Cl,572,589,(in Ethanol),DY-580,"100,000"
162,745.70,NHS-ester,580-01,C37H34N3O7 * C2F3O2,572,589,(in Ethanol),DY-580,"100,000"
163,649.60,Amino-derivative,580-02,C35H38N4O4 * 2 Cl,572,589,(in Ethanol),DY-580,"100,000"
164,770.75,Maleimide,580-03,C39H37N4O6 * C2F3O2,572,589,(in Ethanol),DY-580,"100,000"
172,803.92,Carboxylic acid,585-00,C39H46N3O10S2 * Na,584,604,(in Ethanol),DY-585,"120,000"
173,900.99,NHS-ester,585-01,C43H49N4O12S2 * Na,584,604,(in Ethanol),DY-585,"120,000"
174,824.02,Amino-derivative,585-02,C41H53N5O9S2,584,604,(in Ethanol),DY-585,"120,000"
175,904.06,Maleimide,585-03,C45H53N5O11S2,584,604,(in Ethanol),DY-585,"120,000"
178,719.88,Carboxylic acid,590-00,C37H41N3O8S2,581,600,(in Ethanol),DY-590,"120,000"
179,816.96,NHS-ester,590-01,C41H44N4O10S2,581,600,(in Ethanol),DY-590,"120,000"
180,798.42,Amino-derivative,590-02,C39H48N5O7S2 * Cl,581,600,(in Ethanol),DY-590,"120,000"
181,842.01,Maleimide,590-03,C43H47N5O9S2,581,600,(in Ethanol),DY-590,"120,000"
184,765.91,Carboxylic acid,591-00,C38H43N3O10S2,581,598,(in Ethanol),DY-591,"120,000"
185,862.98,NHS-ester,591-01,C42H46N4O12S2,581,598,(in Ethanol),DY-591,"120,000"
186,844.45,Amino-derivative,591-02,C40H50N5O9S2 * Cl,581,598,(in Ethanol),DY-591,"120,000"
187,888.04,Maleimide,591-03,C44H49N5O11S2,581,598,(in Ethanol),DY-591,"120,000"
190,937.06,Carboxylic acid,594-00,C39H44N4O15S4,594,615,(in PBS),DY-594,"92,000"
191,1078.10,NHS-ester,594-01,C43H45N5O17S4 * 2 Na,594,615,(in PBS),DY-594,"92,000"
192,979.14,Amino-derivative,594-02,C41H50N6O14S4,594,615,(in PBS),DY-594,"92,000"
