SRRL LI-1800 Direct Normal Spectra
July 15, 2003 at 13:30 MST
WaveLN	Irradiance

Mostly Cloudy

SRRL Atmospheric Optical Calibration System (AOCS) 
NREL-SRRL, Golden, Colorado
(5 min scans @ 2nm) 

[nm]	[watts/m^2/nm]
300	0.003050
302	0.006347
304	0.010579
306	0.015641
308	0.021123
310	0.029574
312	0.037437
314	0.042334
316	0.049545
318	0.057947
320	0.063511
322	0.066765
324	0.082275
326	0.098606
328	0.107887
330	0.112278
332	0.110966
334	0.111103
336	0.108738
338	0.118237
340	0.126297
342	0.125183
344	0.122005
346	0.126335
348	0.130371
350	0.139931
352	0.146362
354	0.155663
356	0.139885
358	0.134735
360	0.149628
362	0.158424
364	0.175392
366	0.193443
368	0.196106
370	0.196426
372	0.180374
374	0.170731
376	0.196533
378	0.216263
380	0.203941
382	0.167000
384	0.165741
386	0.184525
388	0.198067
390	0.227295
392	0.201965
394	0.190979
396	0.205833
398	0.262146
400	0.332977
402	0.355652
404	0.352051
406	0.345657
408	0.358002
410	0.364380
412	0.381958
414	0.390213
416	0.394058
418	0.391006
420	0.395370
422	0.401108
424	0.403076
426	0.404755
428	0.395325
430	0.362152
432	0.396347
434	0.433960
436	0.464661
438	0.465912
440	0.474991
442	0.512299
444	0.536224
446	0.543121
448	0.566345
450	0.596436
452	0.598022
454	0.585480
456	0.598267
458	0.606384
460	0.608185
462	0.619995
464	0.617645
466	0.608582
468	0.609589
470	0.614075
472	0.629761
474	0.647003
476	0.657379
478	0.669891
480	0.684143
482	0.691132
484	0.681061
486	0.634827
488	0.640656
490	0.684723
492	0.689667
494	0.701447
496	0.721252
498	0.719299
500	0.707428
502	0.699615
504	0.711670
506	0.733856
508	0.739502
510	0.743591
512	0.748779
514	0.738007
516	0.714020
518	0.687653
520	0.718567
522	0.752411
524	0.771423
526	0.765289
528	0.763336
530	0.802094
532	0.807892
534	0.807587
536	0.827515
538	0.825562
540	0.813751
542	0.811340
544	0.823639
546	0.828033
548	0.828461
550	0.836090
552	0.845520
554	0.855011
556	0.857513
558	0.845795
560	0.810089
562	0.822144
564	0.830750
566	0.832306
568	0.835510
570	0.831787
572	0.834991
574	0.854218
576	0.856750
578	0.856201
580	0.862274
582	0.880493
584	0.890137
586	0.883698
588	0.863800
590	0.834595
592	0.858337
594	0.874603
596	0.881439
598	0.891571
600	0.890442
602	0.890350
604	0.908325
606	0.912964
608	0.911011
610	0.902222
612	0.903870
614	0.902252
616	0.893799
618	0.898071
620	0.918365
622	0.919647
624	0.908691
626	0.905609
628	0.914307
630	0.910797
632	0.913757
634	0.922791
636	0.932068
638	0.945862
640	0.947144
642	0.939362
644	0.944397
646	0.935394
648	0.924408
650	0.919464
652	0.928192
654	0.938538
656	0.889862
658	0.875946
660	0.939606
662	0.959869
664	0.968079
666	0.968170
668	0.974884
670	0.975555
672	0.972046
674	0.977997
676	0.979492
678	0.982635
680	0.975922
682	0.976257
684	0.972748
686	0.948914
688	0.871216
690	0.857178
692	0.896515
694	0.911743
696	0.915253
698	0.932922
700	0.930847
702	0.916229
704	0.920105
706	0.934875
708	0.943848
710	0.946960
712	0.946411
714	0.943970
716	0.926178
